;v0.3.135e1_chain8_Inc-CL_Ligne_8Summ
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;154.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;154;
Nb of {Request} sent (max) ;154;
Total size of {Request} sent (avg) ;2772.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;2772;
Total size of {Request} sent (max) ;2772;
Global Max size of {Propose} sent (avg) ;44.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;44;
Global Max size of {Propose} sent (max) ;44;
Nb of {Propose} sent (avg) ;430.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;430;
Nb of {Propose} sent (max) ;430;
Total size of {Propose} sent (avg) ;8172.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;8172;
Total size of {Propose} sent (max) ;8172;
Global Max size of {Acknowledge confirmation} sent (avg) ;44.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;44;
Global Max size of {Acknowledge confirmation} sent (max) ;44;
Nb of {Acknowledge confirmation} sent (avg) ;470.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;470;
Nb of {Acknowledge confirmation} sent (max) ;470;
Total size of {Acknowledge confirmation} sent (avg) ;9083.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;9083;
Total size of {Acknowledge confirmation} sent (max) ;9083;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;274.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;274;
Nb of {Acknowledge} sent (max) ;274;
Total size of {Acknowledge} sent (avg) ;548.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;548;
Total size of {Acknowledge} sent (max) ;548;
Global Max size of {Confirm context} sent (avg) ;32.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;32;
Global Max size of {Confirm context} sent (max) ;32;
Nb of {Confirm context} sent (avg) ;553.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;553;
Nb of {Confirm context} sent (max) ;553;
Total size of {Confirm context} sent (avg) ;8680.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;8680;
Total size of {Confirm context} sent (max) ;8680;
Global Max size of {Completeness counter-example} sent (avg) ;7.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;7;
Global Max size of {Completeness counter-example} sent (max) ;7;
Nb of {Completeness counter-example} sent (avg) ;40.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;40;
Nb of {Completeness counter-example} sent (max) ;40;
Total size of {Completeness counter-example} sent (avg) ;280.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;280;
Total size of {Completeness counter-example} sent (max) ;280;
Global Max size of {Propose again} sent (avg) ;32.0;
Global Max size of {Propose again} sent (stddev) ;0.0;
Global Max size of {Propose again} sent (min) ;32;
Global Max size of {Propose again} sent (max) ;32;
Nb of {Propose again} sent (avg) ;130.0;
Nb of {Propose again} sent (stddev) ;0.0;
Nb of {Propose again} sent (min) ;130;
Nb of {Propose again} sent (max) ;130;
Total size of {Propose again} sent (avg) ;2560.0;
Total size of {Propose again} sent (stddev) ;0.0;
Total size of {Propose again} sent (min) ;2560;
Total size of {Propose again} sent (max) ;2560;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;308.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;308;
Nb of {End of local conversation} sent (max) ;308;
Total size of {End of local conversation} sent (avg) ;3080.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;3080;
Total size of {End of local conversation} sent (max) ;3080;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;154.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;154;
Nb of {Accept Request} sent (max) ;154;
Total size of {Accept Request} sent (avg) ;1540.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;1540;
Total size of {Accept Request} sent (max) ;1540;
Global Max size of {Deny} sent (avg) ;37.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;37;
Global Max size of {Deny} sent (max) ;37;
Nb of {Deny} sent (avg) ;260.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;260;
Nb of {Deny} sent (max) ;260;
Total size of {Deny} sent (avg) ;5100.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;5100;
Total size of {Deny} sent (max) ;5100;
Global Max size of {Argue} sent (avg) ;14.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;14;
Global Max size of {Argue} sent (max) ;14;
Nb of {Argue} sent (avg) ;33.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;33;
Nb of {Argue} sent (max) ;33;
Total size of {Argue} sent (avg) ;436.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;436;
Total size of {Argue} sent (max) ;436;
Global Max size of {Ask other hypothesis} sent (avg) ;7.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;7;
Global Max size of {Ask other hypothesis} sent (max) ;7;
Nb of {Ask other hypothesis} sent (avg) ;137.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;137;
Nb of {Ask other hypothesis} sent (max) ;137;
Total size of {Ask other hypothesis} sent (avg) ;934.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;934;
Total size of {Ask other hypothesis} sent (max) ;934;
Global Max size of {Check Context} sent (avg) ;7.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;7;
Global Max size of {Check Context} sent (max) ;7;
Nb of {Check Context} sent (avg) ;142.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;142;
Nb of {Check Context} sent (max) ;142;
Total size of {Check Context} sent (avg) ;1012.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;1012;
Total size of {Check Context} sent (max) ;1012;
Global Max size of {Accept} sent (avg) ;44.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;44;
Global Max size of {Accept} sent (max) ;44;
Nb of {Accept} sent (avg) ;154.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;154;
Nb of {Accept} sent (max) ;154;
Total size of {Accept} sent (avg) ;3504.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;3504;
Total size of {Accept} sent (max) ;3504;
Global Max size of {Coherence counter-example} sent (avg) ;2.0;
Global Max size of {Coherence counter-example} sent (stddev) ;0.0;
Global Max size of {Coherence counter-example} sent (min) ;2;
Global Max size of {Coherence counter-example} sent (max) ;2;
Nb of {Coherence counter-example} sent (avg) ;6.0;
Nb of {Coherence counter-example} sent (stddev) ;0.0;
Nb of {Coherence counter-example} sent (min) ;6;
Nb of {Coherence counter-example} sent (max) ;6;
Total size of {Coherence counter-example} sent (avg) ;13.0;
Total size of {Coherence counter-example} sent (stddev) ;0.0;
Total size of {Coherence counter-example} sent (min) ;13;
Total size of {Coherence counter-example} sent (max) ;13;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;14.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;14;
Nb of {New neighbour} received (max) ;14;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;8.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;8;
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;154.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;154;
Nb of {Accept Request} received (max) ;154;
Total size of {Accept Request} received (avg) ;1540.0;
