;v0.3.1395e1_chain8-2_Inc-CL_Clique_2All
Min of min size of solve for extended hyp (avg) ;11.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;11;
Min of min size of solve for extended hyp (max) ;11;
Sum of nb of solve for extended hyp (avg) ;10.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;10;
Sum of nb of solve for extended hyp (max) ;10;
Sum of total size of solve for extended hyp (avg) ;346.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;346;
Sum of total size of solve for extended hyp (max) ;346;
Sum of max size of solve for extended hyp (avg) ;108.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;108;
Sum of max size of solve for extended hyp (max) ;108;
Sum of min size of solve for extended hyp (avg) ;22.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;22;
Sum of min size of solve for extended hyp (max) ;22;
Average of nb of solve for extended hyp (avg) ;5.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;5.0;
Average of nb of solve for extended hyp (max) ;5.0;
Average of total size of solve for extended hyp (avg) ;173.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;173.0;
Average of total size of solve for extended hyp (max) ;173.0;
Average of max size of solve for extended hyp (avg) ;54.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;54.0;
Average of max size of solve for extended hyp (max) ;54.0;
Average of min size of solve for extended hyp (avg) ;11.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;11.0;
Average of min size of solve for extended hyp (max) ;11.0;
Standard deviation of nb of solve for extended hyp (avg) ;0.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.0;
Standard deviation of nb of solve for extended hyp (max) ;0;
Standard deviation of total size of solve for extended hyp (avg) ;0.0;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;0.0;
Standard deviation of total size of solve for extended hyp (max) ;0;
Standard deviation of max size of solve for extended hyp (avg) ;0.0;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;0.0;
Standard deviation of max size of solve for extended hyp (max) ;0;
Standard deviation of min size of solve for extended hyp (avg) ;0.0;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;0.0;
Standard deviation of min size of solve for extended hyp (max) ;0;
Product of nb of solve for own context (avg) ;2392.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;2392;
Product of nb of solve for own context (max) ;2392;
Product of total size of solve for own context (avg) ;267860.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;267860;
Product of total size of solve for own context (max) ;267860;
Product of max size of solve for own context (avg) ;1350.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1350;
Product of max size of solve for own context (max) ;1350;
Product of min size of solve for own context (avg) ;16.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;16;
Product of min size of solve for own context (max) ;16;
Max of nb of solve for own context (avg) ;104.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;104;
Max of nb of solve for own context (max) ;104;
Max of total size of solve for own context (avg) ;1135.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1135;
Max of total size of solve for own context (max) ;1135;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;23.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;23;
Min of nb of solve for own context (max) ;23;
Min of total size of solve for own context (avg) ;236.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;236;
Min of total size of solve for own context (max) ;236;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;127.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;127;
Sum of nb of solve for own context (max) ;127;
Sum of total size of solve for own context (avg) ;1371.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;1371;
Sum of total size of solve for own context (max) ;1371;
Sum of max size of solve for own context (avg) ;75.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;75;
Sum of max size of solve for own context (max) ;75;
Sum of min size of solve for own context (avg) ;8.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;8;
Sum of min size of solve for own context (max) ;8;
Average of nb of solve for own context (avg) ;63.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;63.5;
Average of nb of solve for own context (max) ;63.5;
Average of total size of solve for own context (avg) ;685.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;685.5;
Average of total size of solve for own context (max) ;685.5;
Average of max size of solve for own context (avg) ;37.5;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;37.5;
Average of max size of solve for own context (max) ;37.5;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;40.5;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;40.5;
Standard deviation of nb of solve for own context (max) ;40.5;
Standard deviation of total size of solve for own context (avg) ;449.5;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;449.5;
Standard deviation of total size of solve for own context (max) ;449.5;
Standard deviation of max size of solve for own context (avg) ;7.5;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;7.5;
Standard deviation of max size of solve for own context (max) ;7.5;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7144.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;7144;
Product of nb of solve for external context (max) ;7144;
Product of total size of solve for external context (avg) ;645610.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;645610;
Product of total size of solve for external context (max) ;645610;
Product of max size of solve for external context (avg) ;714.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;714;
Product of max size of solve for external context (max) ;714;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;94.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;94;
Max of nb of solve for external context (max) ;94;
Max of total size of solve for external context (avg) ;805.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;805;
Max of total size of solve for external context (max) ;805;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;76.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;76;
Min of nb of solve for external context (max) ;76;
Min of total size of solve for external context (avg) ;802.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;802;
Min of total size of solve for external context (max) ;802;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;4.0;
Min of min size of solve for external context (stddev) ;0.0;
