;v0.3.1395e1_DAREscheduleBisW2_Inc_DARE_8All
Standard deviation of total size of solve for hyp (avg) ;629.3075063115011;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;629.3075063115011;
Standard deviation of total size of solve for hyp (max) ;629.3075063115011;
Standard deviation of max size of solve for hyp (avg) ;56.857140052943215;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;56.857140052943215;
Standard deviation of max size of solve for hyp (max) ;56.857140052943215;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;1.255782528E9;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1255782528;
Product of nb of solve for extended hyp (max) ;1255782528;
Product of total size of solve for extended hyp (avg) ;7.3891266837506847E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;7389126683750684200;
Product of total size of solve for extended hyp (max) ;7389126683750684200;
Product of max size of solve for extended hyp (avg) ;-7.2892161597128018E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;-7289216159712801584;
Product of max size of solve for extended hyp (max) ;0;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;28.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;28;
Max of nb of solve for extended hyp (max) ;28;
Max of total size of solve for extended hyp (avg) ;40620.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;40620;
Max of total size of solve for extended hyp (max) ;40620;
Max of max size of solve for extended hyp (avg) ;4168.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;4168;
Max of max size of solve for extended hyp (max) ;4168;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;11.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;11;
Min of nb of solve for extended hyp (max) ;11;
Min of total size of solve for extended hyp (avg) ;5161.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;5161;
Min of total size of solve for extended hyp (max) ;5161;
Min of max size of solve for extended hyp (avg) ;827.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;827;
Min of max size of solve for extended hyp (max) ;827;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
