;v0.3.1395e2_exEcai-3ag_ECAI-CL_Clique_3All
Average of nb of solve for hyp (max) ;3.6666666666666665;
Average of total size of solve for hyp (avg) ;31.666666666666668;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;31.666666666666668;
Average of total size of solve for hyp (max) ;31.666666666666668;
Average of max size of solve for hyp (avg) ;12.333333333333334;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;12.333333333333334;
Average of max size of solve for hyp (max) ;12.333333333333334;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for hyp (avg) ;4.9216076867444665;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;4.9216076867444665;
Standard deviation of total size of solve for hyp (max) ;4.9216076867444665;
Standard deviation of max size of solve for hyp (avg) ;2.6246692913372702;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;2.6246692913372702;
Standard deviation of max size of solve for hyp (max) ;2.6246692913372702;
Standard deviation of min size of solve for hyp (avg) ;2.160246899469287;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.160246899469287;
Standard deviation of min size of solve for hyp (max) ;2.160246899469287;
Product of nb of solve for extended hyp (avg) ;4.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;4;
Product of nb of solve for extended hyp (max) ;4;
Product of total size of solve for extended hyp (avg) ;6048.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;6048;
Product of total size of solve for extended hyp (max) ;6048;
Product of max size of solve for extended hyp (avg) ;1512.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;1512;
Product of max size of solve for extended hyp (max) ;1512;
Product of min size of solve for extended hyp (avg) ;1512.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1512;
Product of min size of solve for extended hyp (max) ;1512;
Max of nb of solve for extended hyp (avg) ;2.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;2;
Max of nb of solve for extended hyp (max) ;2;
Max of total size of solve for extended hyp (avg) ;28.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;28;
Max of total size of solve for extended hyp (max) ;28;
Max of max size of solve for extended hyp (avg) ;14.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;14;
Max of max size of solve for extended hyp (max) ;14;
Max of min size of solve for extended hyp (avg) ;14.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;14;
Max of min size of solve for extended hyp (max) ;14;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;12.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;12;
Min of total size of solve for extended hyp (max) ;12;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;5.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;5;
Sum of nb of solve for extended hyp (max) ;5;
Sum of total size of solve for extended hyp (avg) ;58.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;58;
Sum of total size of solve for extended hyp (max) ;58;
Sum of max size of solve for extended hyp (avg) ;35.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;35;
Sum of max size of solve for extended hyp (max) ;35;
Sum of min size of solve for extended hyp (avg) ;35.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;35;
Sum of min size of solve for extended hyp (max) ;35;
Average of nb of solve for extended hyp (avg) ;1.6666666666666667;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;1.6666666666666667;
Average of nb of solve for extended hyp (max) ;1.6666666666666667;
Average of total size of solve for extended hyp (avg) ;19.333333333333332;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;19.333333333333332;
Average of total size of solve for extended hyp (max) ;19.333333333333332;
Average of max size of solve for extended hyp (avg) ;11.666666666666666;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;11.666666666666666;
Average of max size of solve for extended hyp (max) ;11.666666666666666;
Average of min size of solve for extended hyp (avg) ;11.666666666666666;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;11.666666666666666;
Average of min size of solve for extended hyp (max) ;11.666666666666666;
Standard deviation of nb of solve for extended hyp (avg) ;0.4714045207910317;
