;v0.3.12e10_exEcai-3ag_Inc_Ligne_3All
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;4.546060565661953;
Standard deviation of nb of solve for own context (stddev) ;8.881784197001252E-16;
Standard deviation of nb of solve for own context (min) ;4.546060565661952;
Standard deviation of nb of solve for own context (max) ;4.546060565661952;
Standard deviation of total size of solve for own context (avg) ;39.51652256405611;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;39.51652256405611;
Standard deviation of total size of solve for own context (max) ;39.51652256405611;
Standard deviation of max size of solve for own context (avg) ;8.956685895029603;
Standard deviation of max size of solve for own context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for own context (min) ;8.9566858950296;
Standard deviation of max size of solve for own context (max) ;8.9566858950296;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1792.0;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;1792;
Product of nb of solve for external context (max) ;1792;
Product of total size of solve for external context (avg) ;807040.0;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;807040;
Product of total size of solve for external context (max) ;807040;
Product of max size of solve for external context (avg) ;6105.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;6105;
Product of max size of solve for external context (max) ;6105;
Product of min size of solve for external context (avg) ;16.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;16;
Product of min size of solve for external context (max) ;16;
Max of nb of solve for external context (avg) ;16.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;16;
Max of nb of solve for external context (max) ;16;
Max of total size of solve for external context (avg) ;104.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;104;
Max of total size of solve for external context (max) ;104;
Max of max size of solve for external context (avg) ;37.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;37;
Max of max size of solve for external context (max) ;37;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;8.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;8;
Min of nb of solve for external context (max) ;8;
Min of total size of solve for external context (avg) ;80.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;80;
Min of total size of solve for external context (max) ;80;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;38.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;38;
Sum of nb of solve for external context (max) ;38;
Sum of total size of solve for external context (avg) ;281.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;281;
Sum of total size of solve for external context (max) ;281;
Sum of max size of solve for external context (avg) ;63.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;63;
Sum of max size of solve for external context (max) ;63;
Sum of min size of solve for external context (avg) ;8.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;12.666666666666668;
Average of nb of solve for external context (stddev) ;1.7763568394002505E-15;
Average of nb of solve for external context (min) ;12.666666666666666;
Average of nb of solve for external context (max) ;12.666666666666666;
Average of total size of solve for external context (avg) ;93.66666666666666;
Average of total size of solve for external context (stddev) ;1.4210854715202004E-14;
Average of total size of solve for external context (min) ;93.66666666666667;
Average of total size of solve for external context (max) ;93.66666666666667;
Average of max size of solve for external context (avg) ;21.0;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.0;
Average of max size of solve for external context (max) ;21.0;
Average of min size of solve for external context (avg) ;2.666666666666667;
Average of min size of solve for external context (stddev) ;4.440892098500626E-16;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;3.39934634239519;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;3.39934634239519;
Standard deviation of nb of solve for external context (max) ;3.39934634239519;
Standard deviation of total size of solve for external context (avg) ;10.077477638553985;
Standard deviation of total size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of total size of solve for external context (min) ;10.077477638553983;
Standard deviation of total size of solve for external context (max) ;10.077477638553983;
Standard deviation of max size of solve for external context (avg) ;11.430952132988166;
Standard deviation of max size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for external context (min) ;11.430952132988164;
Standard deviation of max size of solve for external context (max) ;11.430952132988164;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;80.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;80;
Product of nb of solve for covered manif. (max) ;80;
Product of total size of solve for covered manif. (avg) ;180336.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;180336;
Product of total size of solve for covered manif. (max) ;180336;
Product of max size of solve for covered manif. (avg) ;10000.0;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;10000;
Product of max size of solve for covered manif. (max) ;10000;
Product of min size of solve for covered manif. (avg) ;27.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;27;
Product of min size of solve for covered manif. (max) ;27;
Max of nb of solve for covered manif. (avg) ;5.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;5;
Max of nb of solve for covered manif. (max) ;5;
Max of total size of solve for covered manif. (avg) ;68.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;68;
