;v0.3.1395e1_DAREscheduleBisW2_Inc-CL_DARE_8All
Standard deviation of max size of solve for hyp (min) ;24.189034189070053;
Standard deviation of max size of solve for hyp (max) ;24.189034189070053;
Standard deviation of min size of solve for hyp (avg) ;1.653594569415369;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;1.653594569415369;
Standard deviation of min size of solve for hyp (max) ;1.653594569415369;
Product of nb of solve for extended hyp (avg) ;2419200.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;2419200;
Product of nb of solve for extended hyp (max) ;2419200;
Product of total size of solve for extended hyp (avg) ;-2.97362276718272E15;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;-2973622767182720;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;7.982472027463381E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;7982472027463381100;
Product of max size of solve for extended hyp (max) ;7982472027463381100;
Product of min size of solve for extended hyp (avg) ;1.86535791E8;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;186535791;
Product of min size of solve for extended hyp (max) ;186535791;
Max of nb of solve for extended hyp (avg) ;14.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;14;
Max of nb of solve for extended hyp (max) ;14;
Max of total size of solve for extended hyp (avg) ;8669.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;8669;
Max of total size of solve for extended hyp (max) ;8669;
Max of max size of solve for extended hyp (avg) ;1330.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;1330;
Max of max size of solve for extended hyp (max) ;1330;
Max of min size of solve for extended hyp (avg) ;39.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;39;
Max of min size of solve for extended hyp (max) ;39;
Min of nb of solve for extended hyp (avg) ;3.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;3;
Min of nb of solve for extended hyp (max) ;3;
Min of total size of solve for extended hyp (avg) ;195.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;195;
Min of total size of solve for extended hyp (max) ;195;
Min of max size of solve for extended hyp (avg) ;119.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;119;
Min of max size of solve for extended hyp (max) ;119;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;55.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;55;
Sum of nb of solve for extended hyp (max) ;55;
Sum of total size of solve for extended hyp (avg) ;26371.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;26371;
Sum of total size of solve for extended hyp (max) ;26371;
Sum of max size of solve for extended hyp (avg) ;5996.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;5996;
Sum of max size of solve for extended hyp (max) ;5996;
Sum of min size of solve for extended hyp (avg) ;102.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;102;
Sum of min size of solve for extended hyp (max) ;102;
Average of nb of solve for extended hyp (avg) ;6.875;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;6.875;
Average of nb of solve for extended hyp (max) ;6.875;
Average of total size of solve for extended hyp (avg) ;3296.375;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;3296.375;
