;v0.3.13e10_exEcai-3ag_Inc_Clique_3Summ
Nb of {Completeness counter-example} sent (min) ;8;
Nb of {Completeness counter-example} sent (max) ;8;
Total size of {Completeness counter-example} sent (avg) ;80.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;80;
Total size of {Completeness counter-example} sent (max) ;80;
Global Max size of {Check Context} sent (avg) ;29.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;29;
Global Max size of {Check Context} sent (max) ;29;
Nb of {Check Context} sent (avg) ;4.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;4;
Nb of {Check Context} sent (max) ;4;
Total size of {Check Context} sent (avg) ;86.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;86;
Total size of {Check Context} sent (max) ;86;
Global Max size of {Accept} sent (avg) ;76.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;76;
Global Max size of {Accept} sent (max) ;76;
Nb of {Accept} sent (avg) ;6.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;6;
Nb of {Accept} sent (max) ;6;
Total size of {Accept} sent (avg) ;257.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;257;
Total size of {Accept} sent (max) ;257;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;12.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;12;
Nb of {End of local conversation} sent (max) ;12;
Total size of {End of local conversation} sent (avg) ;120.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;120;
Total size of {End of local conversation} sent (max) ;120;
Global Max size of {Deny} sent (avg) ;32.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;32;
Global Max size of {Deny} sent (max) ;32;
Nb of {Deny} sent (avg) ;6.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;6;
Nb of {Deny} sent (max) ;6;
Total size of {Deny} sent (avg) ;146.0;
Total size of {Deny} sent (stddev) ;4.898979485566356;
Total size of {Deny} sent (min) ;142;
Total size of {Deny} sent (max) ;152;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;6.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;6;
Nb of {Argue} sent (max) ;6;
Total size of {Argue} sent (avg) ;112.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;112;
Total size of {Argue} sent (max) ;112;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;3.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;3;
Nb of {Withdraw} sent (max) ;3;
Total size of {Withdraw} sent (avg) ;6.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;6;
Total size of {Withdraw} sent (max) ;6;
