;v0.3.1395e1_chain8-4_ECAI_Circuit_4All
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;2178.75;
Average of total size of solve for own context (max) ;2178.75;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;70.11196402897298;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;70.11196402897298;
Standard deviation of nb of solve for own context (max) ;70.11196402897298;
Standard deviation of total size of solve for own context (avg) ;960.0732719433449;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;960.0732719433449;
Standard deviation of total size of solve for own context (max) ;960.0732719433449;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;5.78373048E10;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;57837304800;
Product of nb of solve for external context (max) ;57837304800;
Product of total size of solve for external context (avg) ;5.620011219572E13;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;56200112195720;
Product of total size of solve for external context (max) ;56200112195720;
Product of max size of solve for external context (avg) ;314874.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;314874;
Product of max size of solve for external context (max) ;314874;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;748.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;748;
Max of nb of solve for external context (max) ;748;
Max of total size of solve for external context (avg) ;4204.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;4204;
Max of total size of solve for external context (max) ;4204;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;370.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;370;
Min of nb of solve for external context (max) ;370;
Min of total size of solve for external context (avg) ;1957.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;1957;
Min of total size of solve for external context (max) ;1957;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;2039.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;2039;
Sum of nb of solve for external context (max) ;2039;
Sum of total size of solve for external context (avg) ;11558.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;11558;
Sum of total size of solve for external context (max) ;11558;
Sum of max size of solve for external context (avg) ;97.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;97;
Sum of max size of solve for external context (max) ;97;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;509.75;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;509.75;
Average of nb of solve for external context (max) ;509.75;
Average of total size of solve for external context (avg) ;2889.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;2889.5;
Average of total size of solve for external context (max) ;2889.5;
Average of max size of solve for external context (avg) ;24.25;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;24.25;
