;v0.3.1395e1_exEcai-2ag_ECAI_Clique_2All
Standard deviation of min size of solve step (avg) ;0.0;
Standard deviation of min size of solve step (stddev) ;0.0;
Standard deviation of min size of solve step (min) ;0.0;
Standard deviation of min size of solve step (max) ;0;
Product of nb of solve for hyp (avg) ;6.0;
Product of nb of solve for hyp (stddev) ;0.0;
Product of nb of solve for hyp (min) ;6;
Product of nb of solve for hyp (max) ;6;
Product of total size of solve for hyp (avg) ;608.0;
Product of total size of solve for hyp (stddev) ;0.0;
Product of total size of solve for hyp (min) ;608;
Product of total size of solve for hyp (max) ;608;
Product of max size of solve for hyp (avg) ;192.0;
Product of max size of solve for hyp (stddev) ;0.0;
Product of max size of solve for hyp (min) ;192;
Product of max size of solve for hyp (max) ;192;
Product of min size of solve for hyp (avg) ;27.0;
Product of min size of solve for hyp (stddev) ;0.0;
Product of min size of solve for hyp (min) ;27;
Product of min size of solve for hyp (max) ;27;
Max of nb of solve for hyp (avg) ;3.0;
Max of nb of solve for hyp (stddev) ;0.0;
Max of nb of solve for hyp (min) ;3;
Max of nb of solve for hyp (max) ;3;
Max of total size of solve for hyp (avg) ;32.0;
Max of total size of solve for hyp (stddev) ;0.0;
Max of total size of solve for hyp (min) ;32;
Max of total size of solve for hyp (max) ;32;
Max of max size of solve for hyp (avg) ;16.0;
Max of max size of solve for hyp (stddev) ;0.0;
Max of max size of solve for hyp (min) ;16;
Max of max size of solve for hyp (max) ;16;
Max of min size of solve for hyp (avg) ;9.0;
Max of min size of solve for hyp (stddev) ;0.0;
Max of min size of solve for hyp (min) ;9;
Max of min size of solve for hyp (max) ;9;
Min of nb of solve for hyp (avg) ;2.0;
Min of nb of solve for hyp (stddev) ;0.0;
Min of nb of solve for hyp (min) ;2;
Min of nb of solve for hyp (max) ;2;
Min of total size of solve for hyp (avg) ;19.0;
Min of total size of solve for hyp (stddev) ;0.0;
Min of total size of solve for hyp (min) ;19;
Min of total size of solve for hyp (max) ;19;
Min of max size of solve for hyp (avg) ;12.0;
Min of max size of solve for hyp (stddev) ;0.0;
Min of max size of solve for hyp (min) ;12;
Min of max size of solve for hyp (max) ;12;
Min of min size of solve for hyp (avg) ;3.0;
Min of min size of solve for hyp (stddev) ;0.0;
Min of min size of solve for hyp (min) ;3;
Min of min size of solve for hyp (max) ;3;
Sum of nb of solve for hyp (avg) ;5.0;
Sum of nb of solve for hyp (stddev) ;0.0;
Sum of nb of solve for hyp (min) ;5;
Sum of nb of solve for hyp (max) ;5;
Sum of total size of solve for hyp (avg) ;51.0;
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;51;
Sum of total size of solve for hyp (max) ;51;
Sum of max size of solve for hyp (avg) ;28.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;28;
Sum of max size of solve for hyp (max) ;28;
Sum of min size of solve for hyp (avg) ;12.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;12;
Sum of min size of solve for hyp (max) ;12;
Average of nb of solve for hyp (avg) ;2.5;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;2.5;
Average of nb of solve for hyp (max) ;2.5;
Average of total size of solve for hyp (avg) ;25.5;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;25.5;
Average of total size of solve for hyp (max) ;25.5;
Average of max size of solve for hyp (avg) ;14.0;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;14.0;
Average of max size of solve for hyp (max) ;14.0;
Average of min size of solve for hyp (avg) ;6.0;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;6.0;
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.5;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.5;
Standard deviation of nb of solve for hyp (max) ;0.5;
Standard deviation of total size of solve for hyp (avg) ;6.5;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;6.5;
Standard deviation of total size of solve for hyp (max) ;6.5;
Standard deviation of max size of solve for hyp (avg) ;2.0;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;2.0;
Standard deviation of max size of solve for hyp (max) ;2.0;
Standard deviation of min size of solve for hyp (avg) ;3.0;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;3.0;
Standard deviation of min size of solve for hyp (max) ;3.0;
Product of nb of solve for extended hyp (avg) ;1.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1;
Product of nb of solve for extended hyp (max) ;1;
Product of total size of solve for extended hyp (avg) ;117.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;117;
Product of total size of solve for extended hyp (max) ;117;
Product of max size of solve for extended hyp (avg) ;117.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;117;
Product of max size of solve for extended hyp (max) ;117;
Product of min size of solve for extended hyp (avg) ;117.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;117;
Product of min size of solve for extended hyp (max) ;117;
Max of nb of solve for extended hyp (avg) ;1.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;1;
Max of nb of solve for extended hyp (max) ;1;
Max of total size of solve for extended hyp (avg) ;13.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;13;
Max of total size of solve for extended hyp (max) ;13;
Max of max size of solve for extended hyp (avg) ;13.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;13;
Max of max size of solve for extended hyp (max) ;13;
Max of min size of solve for extended hyp (avg) ;13.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;13;
Max of min size of solve for extended hyp (max) ;13;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;2.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;2;
Sum of nb of solve for extended hyp (max) ;2;
Sum of total size of solve for extended hyp (avg) ;22.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;22;
Sum of total size of solve for extended hyp (max) ;22;
Sum of max size of solve for extended hyp (avg) ;22.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;22;
Sum of max size of solve for extended hyp (max) ;22;
Sum of min size of solve for extended hyp (avg) ;22.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;22;
Sum of min size of solve for extended hyp (max) ;22;
Average of nb of solve for extended hyp (avg) ;1.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;1.0;
Average of nb of solve for extended hyp (max) ;1.0;
Average of total size of solve for extended hyp (avg) ;11.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;11.0;
Average of total size of solve for extended hyp (max) ;11.0;
Average of max size of solve for extended hyp (avg) ;11.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;11.0;
Average of max size of solve for extended hyp (max) ;11.0;
Average of min size of solve for extended hyp (avg) ;11.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;11.0;
Average of min size of solve for extended hyp (max) ;11.0;
Standard deviation of nb of solve for extended hyp (avg) ;0.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.0;
Standard deviation of nb of solve for extended hyp (max) ;0;
Standard deviation of total size of solve for extended hyp (avg) ;2.0;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;2.0;
Standard deviation of total size of solve for extended hyp (max) ;2.0;
Standard deviation of max size of solve for extended hyp (avg) ;2.0;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;2.0;
