;v0.3.1395e1_chain8-4_Inc_Ligne_4All
Sum of total size of solve for hyp (stddev) ;0.0;
Sum of total size of solve for hyp (min) ;1752;
Sum of total size of solve for hyp (max) ;1752;
Sum of max size of solve for hyp (avg) ;249.0;
Sum of max size of solve for hyp (stddev) ;0.0;
Sum of max size of solve for hyp (min) ;249;
Sum of max size of solve for hyp (max) ;249;
Sum of min size of solve for hyp (avg) ;22.0;
Sum of min size of solve for hyp (stddev) ;0.0;
Sum of min size of solve for hyp (min) ;22;
Sum of min size of solve for hyp (max) ;22;
Average of nb of solve for hyp (avg) ;12.25;
Average of nb of solve for hyp (stddev) ;0.0;
Average of nb of solve for hyp (min) ;12.25;
Average of nb of solve for hyp (max) ;12.25;
Average of total size of solve for hyp (avg) ;438.0;
Average of total size of solve for hyp (stddev) ;0.0;
Average of total size of solve for hyp (min) ;438.0;
Average of total size of solve for hyp (max) ;438.0;
Average of max size of solve for hyp (avg) ;62.25;
Average of max size of solve for hyp (stddev) ;0.0;
Average of max size of solve for hyp (min) ;62.25;
Average of max size of solve for hyp (max) ;62.25;
Average of min size of solve for hyp (avg) ;5.5;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;5.5;
Average of min size of solve for hyp (max) ;5.5;
Standard deviation of nb of solve for hyp (avg) ;0.82915619758885;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.82915619758885;
Standard deviation of nb of solve for hyp (max) ;0.82915619758885;
Standard deviation of total size of solve for hyp (avg) ;62.853003110432205;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;62.853003110432205;
Standard deviation of total size of solve for hyp (max) ;62.853003110432205;
Standard deviation of max size of solve for hyp (avg) ;4.968651728587948;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.968651728587948;
Standard deviation of max size of solve for hyp (max) ;4.968651728587948;
Standard deviation of min size of solve for hyp (avg) ;2.5;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.5;
Standard deviation of min size of solve for hyp (max) ;2.5;
Product of nb of solve for extended hyp (avg) ;11979.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;11979;
Product of nb of solve for extended hyp (max) ;11979;
Product of total size of solve for extended hyp (avg) ;4.995342975E10;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;49953429750;
Product of total size of solve for extended hyp (max) ;49953429750;
Product of max size of solve for extended hyp (avg) ;4.2357168E7;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;42357168;
Product of max size of solve for extended hyp (max) ;42357168;
Product of min size of solve for extended hyp (avg) ;1936.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1936;
Product of min size of solve for extended hyp (max) ;1936;
Max of nb of solve for extended hyp (avg) ;11.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;11;
Max of nb of solve for extended hyp (max) ;11;
Max of total size of solve for extended hyp (avg) ;565.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;565;
Max of total size of solve for extended hyp (max) ;565;
Max of max size of solve for extended hyp (avg) ;87.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;87;
Max of max size of solve for extended hyp (max) ;87;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;9.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;9;
Min of nb of solve for extended hyp (max) ;9;
Min of total size of solve for extended hyp (avg) ;345.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;345;
Min of total size of solve for extended hyp (max) ;345;
Min of max size of solve for extended hyp (avg) ;69.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;69;
Min of max size of solve for extended hyp (max) ;69;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;42.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;42;
Sum of nb of solve for extended hyp (max) ;42;
Sum of total size of solve for extended hyp (avg) ;1923.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;1923;
Sum of total size of solve for extended hyp (max) ;1923;
Sum of max size of solve for extended hyp (avg) ;324.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;324;
Sum of max size of solve for extended hyp (max) ;324;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;10.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;10.5;
Average of nb of solve for extended hyp (max) ;10.5;
Average of total size of solve for extended hyp (avg) ;480.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;480.75;
Average of total size of solve for extended hyp (max) ;480.75;
Average of max size of solve for extended hyp (avg) ;81.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;81.0;
Average of max size of solve for extended hyp (max) ;81.0;
