;v0.3.13e10_exEcai-3ag_Inc-CL_Ligne_3All
Average of nb of solve for extended hyp (avg) ;1.6666666666666665;
Average of nb of solve for extended hyp (stddev) ;2.220446049250313E-16;
Average of nb of solve for extended hyp (min) ;1.6666666666666667;
Average of nb of solve for extended hyp (max) ;1.6666666666666667;
Average of total size of solve for extended hyp (avg) ;19.666666666666664;
Average of total size of solve for extended hyp (stddev) ;3.552713678800501E-15;
Average of total size of solve for extended hyp (min) ;19.666666666666668;
Average of total size of solve for extended hyp (max) ;19.666666666666668;
Average of max size of solve for extended hyp (avg) ;12.666666666666668;
Average of max size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of max size of solve for extended hyp (min) ;12.666666666666666;
Average of max size of solve for extended hyp (max) ;12.666666666666666;
Average of min size of solve for extended hyp (avg) ;11.666666666666668;
Average of min size of solve for extended hyp (stddev) ;1.7763568394002505E-15;
Average of min size of solve for extended hyp (min) ;11.666666666666666;
Average of min size of solve for extended hyp (max) ;11.666666666666666;
Standard deviation of nb of solve for extended hyp (avg) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.4714045207910317;
Standard deviation of nb of solve for extended hyp (max) ;0.4714045207910317;
Standard deviation of total size of solve for extended hyp (avg) ;5.436502143433364;
Standard deviation of total size of solve for extended hyp (stddev) ;8.881784197001252E-16;
Standard deviation of total size of solve for extended hyp (min) ;5.436502143433363;
Standard deviation of total size of solve for extended hyp (max) ;5.436502143433363;
Standard deviation of max size of solve for extended hyp (avg) ;2.6246692913372702;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;2.6246692913372702;
Standard deviation of max size of solve for extended hyp (max) ;2.6246692913372702;
Standard deviation of min size of solve for extended hyp (avg) ;2.054804667656326;
Standard deviation of min size of solve for extended hyp (stddev) ;4.440892098500626E-16;
Standard deviation of min size of solve for extended hyp (min) ;2.0548046676563256;
Standard deviation of min size of solve for extended hyp (max) ;2.0548046676563256;
Product of nb of solve for own context (avg) ;525.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;525;
Product of nb of solve for own context (max) ;525;
Product of total size of solve for own context (avg) ;701533.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;701533;
Product of total size of solve for own context (max) ;701533;
Product of max size of solve for own context (avg) ;11988.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;11988;
Product of max size of solve for own context (max) ;11988;
Product of min size of solve for own context (avg) ;96.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;96;
Product of min size of solve for own context (max) ;96;
Max of nb of solve for own context (avg) ;15.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;15;
Max of nb of solve for own context (max) ;15;
Max of total size of solve for own context (avg) ;139.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;139;
Max of total size of solve for own context (max) ;139;
Max of max size of solve for own context (avg) ;37.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;37;
Max of max size of solve for own context (max) ;37;
Max of min size of solve for own context (avg) ;6.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;6;
Max of min size of solve for own context (max) ;6;
Min of nb of solve for own context (avg) ;5.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;5;
Min of nb of solve for own context (max) ;5;
Min of total size of solve for own context (avg) ;49.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;49;
Min of total size of solve for own context (max) ;49;
Min of max size of solve for own context (avg) ;18.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;18;
Min of max size of solve for own context (max) ;18;
Min of min size of solve for own context (avg) ;4.0;
