;v0.3.11e1_exEcai-2ag_Inc_Clique_2All
Average of min size of solve for hyp (max) ;6.0;
Standard deviation of nb of solve for hyp (avg) ;0.5;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;0.5;
Standard deviation of nb of solve for hyp (max) ;0.5;
Standard deviation of total size of solve for hyp (avg) ;8.5;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;8.5;
Standard deviation of total size of solve for hyp (max) ;8.5;
Standard deviation of max size of solve for hyp (avg) ;4.0;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.0;
Standard deviation of max size of solve for hyp (max) ;4.0;
Standard deviation of min size of solve for hyp (avg) ;3.0;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;3.0;
Standard deviation of min size of solve for hyp (max) ;3.0;
Product of nb of solve for extended hyp (avg) ;1.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;1;
Product of nb of solve for extended hyp (max) ;1;
Product of total size of solve for extended hyp (avg) ;117.0;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;117;
Product of total size of solve for extended hyp (max) ;117;
Product of max size of solve for extended hyp (avg) ;117.0;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;117;
Product of max size of solve for extended hyp (max) ;117;
Product of min size of solve for extended hyp (avg) ;117.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;117;
Product of min size of solve for extended hyp (max) ;117;
Max of nb of solve for extended hyp (avg) ;1.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;1;
Max of nb of solve for extended hyp (max) ;1;
Max of total size of solve for extended hyp (avg) ;13.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;13;
Max of total size of solve for extended hyp (max) ;13;
Max of max size of solve for extended hyp (avg) ;13.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;13;
Max of max size of solve for extended hyp (max) ;13;
Max of min size of solve for extended hyp (avg) ;13.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;13;
Max of min size of solve for extended hyp (max) ;13;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;2.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;2;
Sum of nb of solve for extended hyp (max) ;2;
Sum of total size of solve for extended hyp (avg) ;22.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;22;
Sum of total size of solve for extended hyp (max) ;22;
Sum of max size of solve for extended hyp (avg) ;22.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;22;
Sum of max size of solve for extended hyp (max) ;22;
Sum of min size of solve for extended hyp (avg) ;22.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;22;
Sum of min size of solve for extended hyp (max) ;22;
Average of nb of solve for extended hyp (avg) ;1.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;1.0;
Average of nb of solve for extended hyp (max) ;1.0;
Average of total size of solve for extended hyp (avg) ;11.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;11.0;
Average of total size of solve for extended hyp (max) ;11.0;
Average of max size of solve for extended hyp (avg) ;11.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;11.0;
Average of max size of solve for extended hyp (max) ;11.0;
Average of min size of solve for extended hyp (avg) ;11.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;11.0;
Average of min size of solve for extended hyp (max) ;11.0;
Standard deviation of nb of solve for extended hyp (avg) ;0.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.0;
Standard deviation of nb of solve for extended hyp (max) ;0;
Standard deviation of total size of solve for extended hyp (avg) ;2.0;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;2.0;
Standard deviation of total size of solve for extended hyp (max) ;2.0;
Standard deviation of max size of solve for extended hyp (avg) ;2.0;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;2.0;
Standard deviation of max size of solve for extended hyp (max) ;2.0;
Standard deviation of min size of solve for extended hyp (avg) ;2.0;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;2.0;
Standard deviation of min size of solve for extended hyp (max) ;2.0;
Product of nb of solve for own context (avg) ;6.0;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;6;
Product of nb of solve for own context (max) ;6;
Product of total size of solve for own context (avg) ;608.0;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;608;
Product of total size of solve for own context (max) ;608;
Product of max size of solve for own context (avg) ;136.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;136;
Product of max size of solve for own context (max) ;136;
Product of min size of solve for own context (avg) ;64.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;64;
Product of min size of solve for own context (max) ;64;
Max of nb of solve for own context (avg) ;3.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;3;
Max of nb of solve for own context (max) ;3;
Max of total size of solve for own context (avg) ;38.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;38;
Max of total size of solve for own context (max) ;38;
Max of max size of solve for own context (avg) ;17.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;17;
Max of max size of solve for own context (max) ;17;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;2.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;2;
Min of nb of solve for own context (max) ;2;
Min of total size of solve for own context (avg) ;16.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;16;
Min of total size of solve for own context (max) ;16;
Min of max size of solve for own context (avg) ;8.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;8;
Min of max size of solve for own context (max) ;8;
Min of min size of solve for own context (avg) ;8.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;8;
Min of min size of solve for own context (max) ;8;
Sum of nb of solve for own context (avg) ;5.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;5;
Sum of nb of solve for own context (max) ;5;
Sum of total size of solve for own context (avg) ;54.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;54;
Sum of total size of solve for own context (max) ;54;
Sum of max size of solve for own context (avg) ;25.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;25;
Sum of max size of solve for own context (max) ;25;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;2.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;2.5;
Average of nb of solve for own context (max) ;2.5;
Average of total size of solve for own context (avg) ;27.0;
