;v0.3.139e1_DAREscheduleVariant_ECAI_DARE_8All
Average of min size of solve for hyp (avg) ;3.875;
Average of min size of solve for hyp (stddev) ;0.0;
Average of min size of solve for hyp (min) ;3.875;
Average of min size of solve for hyp (max) ;3.875;
Standard deviation of nb of solve for hyp (avg) ;2.6896793489187516;
Standard deviation of nb of solve for hyp (stddev) ;0.0;
Standard deviation of nb of solve for hyp (min) ;2.6896793489187516;
Standard deviation of nb of solve for hyp (max) ;2.6896793489187516;
Standard deviation of total size of solve for hyp (avg) ;63.09603295770662;
Standard deviation of total size of solve for hyp (stddev) ;0.0;
Standard deviation of total size of solve for hyp (min) ;63.09603295770662;
Standard deviation of total size of solve for hyp (max) ;63.09603295770662;
Standard deviation of max size of solve for hyp (avg) ;7.75806032459145;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;7.75806032459145;
Standard deviation of max size of solve for hyp (max) ;7.75806032459145;
Standard deviation of min size of solve for hyp (avg) ;2.315032397181517;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.315032397181517;
Standard deviation of min size of solve for hyp (max) ;2.315032397181517;
Product of nb of solve for extended hyp (avg) ;17496.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;17496;
Product of nb of solve for extended hyp (max) ;17496;
Product of total size of solve for extended hyp (avg) ;-9.0807567982248929E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;-9080756798224892508;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;4.2948735332739308E18;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;4294873533273930929;
Product of max size of solve for extended hyp (max) ;4294873533273930929;
Product of min size of solve for extended hyp (avg) ;3.027619377E9;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;3027619377;
Product of min size of solve for extended hyp (max) ;3027619377;
Max of nb of solve for extended hyp (avg) ;9.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;9;
Max of nb of solve for extended hyp (max) ;9;
Max of total size of solve for extended hyp (avg) ;5500.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;5500;
Max of total size of solve for extended hyp (max) ;5500;
Max of max size of solve for extended hyp (avg) ;793.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;793;
Max of max size of solve for extended hyp (max) ;793;
Max of min size of solve for extended hyp (avg) ;633.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;633;
Max of min size of solve for extended hyp (max) ;633;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;33.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;33;
Sum of nb of solve for extended hyp (max) ;33;
Sum of total size of solve for extended hyp (avg) ;12433.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;12433;
Sum of total size of solve for extended hyp (max) ;12433;
Sum of max size of solve for extended hyp (avg) ;3176.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;3176;
Sum of max size of solve for extended hyp (max) ;3176;
Sum of min size of solve for extended hyp (avg) ;696.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;696;
Sum of min size of solve for extended hyp (max) ;696;
Average of nb of solve for extended hyp (avg) ;4.125;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;4.125;
Average of nb of solve for extended hyp (max) ;4.125;
Average of total size of solve for extended hyp (avg) ;1554.125;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;1554.125;
Average of total size of solve for extended hyp (max) ;1554.125;
Average of max size of solve for extended hyp (avg) ;397.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;397.0;
Average of max size of solve for extended hyp (max) ;397.0;
Average of min size of solve for extended hyp (avg) ;87.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;87.0;
Average of min size of solve for extended hyp (max) ;87.0;
Standard deviation of nb of solve for extended hyp (avg) ;2.6190408549696205;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;2.6190408549696205;
Standard deviation of nb of solve for extended hyp (max) ;2.6190408549696205;
Standard deviation of total size of solve for extended hyp (avg) ;1945.9795372446752;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;1945.9795372446752;
Standard deviation of total size of solve for extended hyp (max) ;1945.9795372446752;
Standard deviation of max size of solve for extended hyp (avg) ;218.56806720104382;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;218.56806720104382;
Standard deviation of max size of solve for extended hyp (max) ;218.56806720104382;
Standard deviation of min size of solve for extended hyp (avg) ;206.36860226303807;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;206.36860226303807;
Standard deviation of min size of solve for extended hyp (max) ;206.36860226303807;
Product of nb of solve for own context (avg) ;1.70481024E10;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;17048102400;
Product of nb of solve for own context (max) ;17048102400;
Product of total size of solve for own context (avg) ;6.7674496536035871E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;6767449653603587408;
Product of total size of solve for own context (max) ;6767449653603587408;
Product of max size of solve for own context (avg) ;1.03699333588032E15;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1036993335880320;
Product of max size of solve for own context (max) ;1036993335880320;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;116.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;116;
Max of nb of solve for own context (max) ;116;
Max of total size of solve for own context (avg) ;8152.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;8152;
Max of total size of solve for own context (max) ;8152;
Max of max size of solve for own context (avg) ;196.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;196;
Max of max size of solve for own context (max) ;196;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;9.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;9;
Min of nb of solve for own context (max) ;9;
Min of total size of solve for own context (avg) ;203.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;203;
Min of total size of solve for own context (max) ;203;
Min of max size of solve for own context (avg) ;51.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;51;
Min of max size of solve for own context (max) ;51;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;237.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;237;
Sum of nb of solve for own context (max) ;237;
Sum of total size of solve for own context (avg) ;11914.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;11914;
Sum of total size of solve for own context (max) ;11914;
Sum of max size of solve for own context (avg) ;687.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;687;
Sum of max size of solve for own context (max) ;687;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;29.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;29.625;
Average of nb of solve for own context (max) ;29.625;
Average of total size of solve for own context (avg) ;1489.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1489.25;
Average of total size of solve for own context (max) ;1489.25;
Average of max size of solve for own context (avg) ;85.875;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;85.875;
Average of max size of solve for own context (max) ;85.875;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;34.08789191193847;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;34.08789191193847;
Standard deviation of nb of solve for own context (max) ;34.08789191193847;
Standard deviation of total size of solve for own context (avg) ;2558.476047865213;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;2558.476047865213;
Standard deviation of total size of solve for own context (max) ;2558.476047865213;
Standard deviation of max size of solve for own context (avg) ;49.21493040734691;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;49.21493040734691;
Standard deviation of max size of solve for own context (max) ;49.21493040734691;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7.29791977824E13;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;72979197782400;
Product of nb of solve for external context (max) ;72979197782400;
Product of total size of solve for external context (avg) ;4.9264782307712041E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;4926478230771204156;
Product of total size of solve for external context (max) ;4926478230771204156;
