;v0.3.1395e2_chain8_ECAI_Ligne_8All
Max of max size of solve for extended hyp (min) ;90;
Max of max size of solve for extended hyp (max) ;90;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;9.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;9;
Min of nb of solve for extended hyp (max) ;9;
Min of total size of solve for extended hyp (avg) ;282.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;282;
Min of total size of solve for extended hyp (max) ;282;
Min of max size of solve for extended hyp (avg) ;42.5;
Min of max size of solve for extended hyp (stddev) ;1.5;
Min of max size of solve for extended hyp (min) ;41;
Min of max size of solve for extended hyp (max) ;44;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;96.5;
Sum of nb of solve for extended hyp (stddev) ;0.5;
Sum of nb of solve for extended hyp (min) ;96;
Sum of nb of solve for extended hyp (max) ;97;
Sum of total size of solve for extended hyp (avg) ;4383.0;
Sum of total size of solve for extended hyp (stddev) ;68.0;
Sum of total size of solve for extended hyp (min) ;4315;
Sum of total size of solve for extended hyp (max) ;4451;
Sum of max size of solve for extended hyp (avg) ;636.5;
Sum of max size of solve for extended hyp (stddev) ;4.5;
Sum of max size of solve for extended hyp (min) ;632;
Sum of max size of solve for extended hyp (max) ;641;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;12.0625;
Average of nb of solve for extended hyp (stddev) ;0.0625;
Average of nb of solve for extended hyp (min) ;12.0;
Average of nb of solve for extended hyp (max) ;12.125;
Average of total size of solve for extended hyp (avg) ;547.875;
Average of total size of solve for extended hyp (stddev) ;8.5;
Average of total size of solve for extended hyp (min) ;539.375;
Average of total size of solve for extended hyp (max) ;556.375;
Average of max size of solve for extended hyp (avg) ;79.5625;
Average of max size of solve for extended hyp (stddev) ;0.5625;
Average of max size of solve for extended hyp (min) ;79.0;
Average of max size of solve for extended hyp (max) ;80.125;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.2941669428605267;
Standard deviation of nb of solve for extended hyp (stddev) ;0.06942207146893764;
Standard deviation of nb of solve for extended hyp (min) ;1.224744871391589;
Standard deviation of nb of solve for extended hyp (max) ;1.3635890143294642;
Standard deviation of total size of solve for extended hyp (avg) ;147.64583030680154;
Standard deviation of total size of solve for extended hyp (stddev) ;10.656836679576159;
Standard deviation of total size of solve for extended hyp (min) ;136.9889936272254;
Standard deviation of total size of solve for extended hyp (max) ;158.30266698637772;
Standard deviation of max size of solve for extended hyp (avg) ;16.407978822237034;
Standard deviation of max size of solve for extended hyp (stddev) ;0.763490975075019;
Standard deviation of max size of solve for extended hyp (min) ;15.644487847162015;
Standard deviation of max size of solve for extended hyp (max) ;17.171469797312053;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;1.05939531836419686E18;
Product of nb of solve for own context (stddev) ;5.5164290099597274E17;
Product of nb of solve for own context (min) ;507752417368224000;
Product of nb of solve for own context (max) ;1611038219360169600;
Product of total size of solve for own context (avg) ;-1.78368855825482496E18;
Product of total size of solve for own context (stddev) ;1.53194663981249946E18;
Product of total size of solve for own context (min) ;-3315635198067324416;
Product of total size of solve for own context (max) ;0;
Product of max size of solve for own context (avg) ;6.88905E11;
Product of max size of solve for own context (stddev) ;0.0;
