;v0.3.139e1_DAREscheduleBis_ECAI-CL_DARE_8Summ
Nb of {Argue} sent (min) ;60;
Nb of {Argue} sent (max) ;60;
Total size of {Argue} sent (avg) ;8565.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;8565;
Total size of {Argue} sent (max) ;8565;
Global Max size of {Deny} sent (avg) ;242.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;242;
Global Max size of {Deny} sent (max) ;242;
Nb of {Deny} sent (avg) ;145.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;145;
Nb of {Deny} sent (max) ;145;
Total size of {Deny} sent (avg) ;19562.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;19562;
Total size of {Deny} sent (max) ;19562;
Global Max size of {Propose again} sent (avg) ;31.0;
Global Max size of {Propose again} sent (stddev) ;0.0;
Global Max size of {Propose again} sent (min) ;31;
Global Max size of {Propose again} sent (max) ;31;
Nb of {Propose again} sent (avg) ;32.0;
Nb of {Propose again} sent (stddev) ;0.0;
Nb of {Propose again} sent (min) ;32;
Nb of {Propose again} sent (max) ;32;
Total size of {Propose again} sent (avg) ;1022.0;
Total size of {Propose again} sent (stddev) ;0.0;
Total size of {Propose again} sent (min) ;1022;
Total size of {Propose again} sent (max) ;1022;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;66.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;66;
Nb of {End of local conversation} sent (max) ;66;
Total size of {End of local conversation} sent (avg) ;660.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;660;
Total size of {End of local conversation} sent (max) ;660;
Global Max size of {Ask other hypothesis} sent (avg) ;144.0;
