;v0.3.1395e1_chain8_Inc_Circuit_8All
Standard deviation of max size of solve for hyp (min) ;10.712142642814275;
Standard deviation of max size of solve for hyp (max) ;10.712142642814275;
Standard deviation of min size of solve for hyp (avg) ;2.165063509461097;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.165063509461097;
Standard deviation of min size of solve for hyp (max) ;2.165063509461097;
Product of nb of solve for extended hyp (avg) ;1.1943936E8;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;119439360;
Product of nb of solve for extended hyp (max) ;119439360;
Product of total size of solve for extended hyp (avg) ;-1.54291715093129062E18;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;-1542917150931290624;
Product of total size of solve for extended hyp (max) ;0;
Product of max size of solve for extended hyp (avg) ;2.2922196562944E14;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;229221965629440;
Product of max size of solve for extended hyp (max) ;229221965629440;
Product of min size of solve for extended hyp (avg) ;495616.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;495616;
Product of min size of solve for extended hyp (max) ;495616;
Max of nb of solve for extended hyp (avg) ;12.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;12;
Max of nb of solve for extended hyp (max) ;12;
Max of total size of solve for extended hyp (avg) ;566.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;566;
Max of total size of solve for extended hyp (max) ;566;
Max of max size of solve for extended hyp (avg) ;84.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;84;
Max of max size of solve for extended hyp (max) ;84;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;8.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;8;
Min of nb of solve for extended hyp (max) ;8;
Min of total size of solve for extended hyp (avg) ;144.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;144;
Min of total size of solve for extended hyp (max) ;144;
Min of max size of solve for extended hyp (avg) ;29.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;29;
Min of max size of solve for extended hyp (max) ;29;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;83.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;83;
Sum of nb of solve for extended hyp (max) ;83;
Sum of total size of solve for extended hyp (avg) ;3108.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;3108;
Sum of total size of solve for extended hyp (max) ;3108;
Sum of max size of solve for extended hyp (avg) ;535.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;535;
Sum of max size of solve for extended hyp (max) ;535;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;10.375;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;10.375;
Average of nb of solve for extended hyp (max) ;10.375;
Average of total size of solve for extended hyp (avg) ;388.5;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;388.5;
Average of total size of solve for extended hyp (max) ;388.5;
Average of max size of solve for extended hyp (avg) ;66.875;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;66.875;
Average of max size of solve for extended hyp (max) ;66.875;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.7275343701356567;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;1.7275343701356567;
Standard deviation of nb of solve for extended hyp (max) ;1.7275343701356567;
Standard deviation of total size of solve for extended hyp (avg) ;140.48220527881816;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;140.48220527881816;
