;v0.3.138e1_DAREschedule_ECAI-CL_DARE_8All
Product of nb of solve for covered manif. (max) ;17290903220236800;
Product of total size of solve for covered manif. (avg) ;-2.6671270307711007E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;-2667127030771100728;
Product of total size of solve for covered manif. (max) ;0;
Product of max size of solve for covered manif. (avg) ;1.18925137723392E14;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;118925137723392;
Product of max size of solve for covered manif. (max) ;118925137723392;
Product of min size of solve for covered manif. (avg) ;6561.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;6561;
Product of min size of solve for covered manif. (max) ;6561;
Max of nb of solve for covered manif. (avg) ;350.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;350;
Max of nb of solve for covered manif. (max) ;350;
Max of total size of solve for covered manif. (avg) ;8884.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;8884;
Max of total size of solve for covered manif. (max) ;8884;
Max of max size of solve for covered manif. (avg) ;84.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;84;
Max of max size of solve for covered manif. (max) ;84;
Max of min size of solve for covered manif. (avg) ;3.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;3;
Max of min size of solve for covered manif. (max) ;3;
Min of nb of solve for covered manif. (avg) ;53.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;53;
Min of nb of solve for covered manif. (max) ;53;
Min of total size of solve for covered manif. (avg) ;855.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;855;
Min of total size of solve for covered manif. (max) ;855;
Min of max size of solve for covered manif. (avg) ;36.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;36;
Min of max size of solve for covered manif. (max) ;36;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;1027.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;1027;
Sum of nb of solve for covered manif. (max) ;1027;
Sum of total size of solve for covered manif. (avg) ;22034.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;22034;
Sum of total size of solve for covered manif. (max) ;22034;
Sum of max size of solve for covered manif. (avg) ;476.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;476;
Sum of max size of solve for covered manif. (max) ;476;
Sum of min size of solve for covered manif. (avg) ;24.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;24;
Sum of min size of solve for covered manif. (max) ;24;
Average of nb of solve for covered manif. (avg) ;128.375;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;128.375;
Average of nb of solve for covered manif. (max) ;128.375;
Average of total size of solve for covered manif. (avg) ;2754.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;2754.25;
Average of total size of solve for covered manif. (max) ;2754.25;
Average of max size of solve for covered manif. (avg) ;59.5;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;59.5;
Average of max size of solve for covered manif. (max) ;59.5;
Average of min size of solve for covered manif. (avg) ;3.0;
Average of min size of solve for covered manif. (stddev) ;0.0;
Average of min size of solve for covered manif. (min) ;3.0;
Average of min size of solve for covered manif. (max) ;3.0;
Standard deviation of nb of solve for covered manif. (avg) ;90.65447796441167;
Standard deviation of nb of solve for covered manif. (stddev) ;0.0;
Standard deviation of nb of solve for covered manif. (min) ;90.65447796441167;
