;v0.3.11e1_exEcai-2ag_ECAI-CL_Clique_2Summ
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;0.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;0;
Nb of {Request} sent (max) ;0;
Total size of {Request} sent (avg) ;17.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;17;
Total size of {Request} sent (max) ;17;
Global Max size of {Propose} sent (avg) ;33.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;33;
Global Max size of {Propose} sent (max) ;33;
Nb of {Propose} sent (avg) ;6.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;6;
Nb of {Propose} sent (max) ;6;
Total size of {Propose} sent (avg) ;125.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;125;
Total size of {Propose} sent (max) ;125;
Global Max size of {Check Context} sent (avg) ;80.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;80;
Global Max size of {Check Context} sent (max) ;80;
Nb of {Check Context} sent (avg) ;2.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;2;
Nb of {Check Context} sent (max) ;2;
Total size of {Check Context} sent (avg) ;152.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;152;
Total size of {Check Context} sent (max) ;152;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;2.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;2;
Nb of {Withdraw} sent (max) ;2;
Total size of {Withdraw} sent (avg) ;4.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;4;
Total size of {Withdraw} sent (max) ;4;
Global Max size of {Acknowledge confirmation} sent (avg) ;24.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;24;
Global Max size of {Acknowledge confirmation} sent (max) ;24;
Nb of {Acknowledge confirmation} sent (avg) ;6.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;6;
Nb of {Acknowledge confirmation} sent (max) ;6;
Total size of {Acknowledge confirmation} sent (avg) ;88.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;88;
Total size of {Acknowledge confirmation} sent (max) ;88;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;4.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;4;
Nb of {Acknowledge} sent (max) ;4;
Total size of {Acknowledge} sent (avg) ;8.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;8;
Total size of {Acknowledge} sent (max) ;8;
Global Max size of {Confirm context} sent (avg) ;20.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;20;
Global Max size of {Confirm context} sent (max) ;20;
Nb of {Confirm context} sent (avg) ;6.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;6;
Nb of {Confirm context} sent (max) ;6;
Total size of {Confirm context} sent (avg) ;84.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;84;
Total size of {Confirm context} sent (max) ;84;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;5.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;5;
Nb of {Completeness counter-example} sent (max) ;5;
Total size of {Completeness counter-example} sent (avg) ;50.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;50;
Total size of {Completeness counter-example} sent (max) ;50;
Global Max size of {Ask other hypothesis} sent (avg) ;10.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;10;
Global Max size of {Ask other hypothesis} sent (max) ;10;
Nb of {Ask other hypothesis} sent (avg) ;2.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;2;
Nb of {Ask other hypothesis} sent (max) ;2;
Total size of {Ask other hypothesis} sent (avg) ;12.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;12;
Total size of {Ask other hypothesis} sent (max) ;12;
Global Max size of {Accept} sent (avg) ;22.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;22;
Global Max size of {Accept} sent (max) ;22;
Nb of {Accept} sent (avg) ;1.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;1;
Nb of {Accept} sent (max) ;1;
Total size of {Accept} sent (avg) ;37.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;37;
Total size of {Accept} sent (max) ;37;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;4.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;4;
Nb of {Argue} sent (max) ;4;
Total size of {Argue} sent (avg) ;42.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;42;
Total size of {Argue} sent (max) ;42;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;2.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;2;
Nb of {End of local conversation} sent (max) ;2;
Total size of {End of local conversation} sent (avg) ;20.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;20;
Total size of {End of local conversation} sent (max) ;20;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;2.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;2;
Nb of {New neighbour} received (max) ;2;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;2.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;2;
Nb of {Start} received (max) ;2;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;0.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;0;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-1.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-1;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;0.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;0;
Nb of {Accept Request} received (max) ;0;
Total size of {Accept Request} received (avg) ;9.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;9;
Total size of {Accept Request} received (max) ;9;
Global Max size of {Check Context} received (avg) ;80.0;
Global Max size of {Check Context} received (stddev) ;0.0;
Global Max size of {Check Context} received (min) ;80;
Global Max size of {Check Context} received (max) ;80;
Nb of {Check Context} received (avg) ;2.0;
Nb of {Check Context} received (stddev) ;0.0;
Nb of {Check Context} received (min) ;2;
Nb of {Check Context} received (max) ;2;
Total size of {Check Context} received (avg) ;152.0;
Total size of {Check Context} received (stddev) ;0.0;
Total size of {Check Context} received (min) ;152;
Total size of {Check Context} received (max) ;152;
Global Max size of {Coherence counter-example} received (avg) ;2.0;
Global Max size of {Coherence counter-example} received (stddev) ;0.0;
Global Max size of {Coherence counter-example} received (min) ;2;
Global Max size of {Coherence counter-example} received (max) ;2;
Nb of {Coherence counter-example} received (avg) ;0.0;
Nb of {Coherence counter-example} received (stddev) ;0.0;
Nb of {Coherence counter-example} received (min) ;0;
Nb of {Coherence counter-example} received (max) ;0;
Total size of {Coherence counter-example} received (avg) ;1.0;
Total size of {Coherence counter-example} received (stddev) ;0.0;
Total size of {Coherence counter-example} received (min) ;1;
Total size of {Coherence counter-example} received (max) ;1;
Global Max size of {Acknowledge} received (avg) ;2.0;
Global Max size of {Acknowledge} received (stddev) ;0.0;
Global Max size of {Acknowledge} received (min) ;2;
Global Max size of {Acknowledge} received (max) ;2;
Nb of {Acknowledge} received (avg) ;4.0;
Nb of {Acknowledge} received (stddev) ;0.0;
Nb of {Acknowledge} received (min) ;4;
Nb of {Acknowledge} received (max) ;4;
Total size of {Acknowledge} received (avg) ;8.0;
Total size of {Acknowledge} received (stddev) ;0.0;
