;v0.3.1395e1_chain8-4_Inc_Circuit_4All
Standard deviation of total size of solve for hyp (min) ;35.02409884636577;
Standard deviation of total size of solve for hyp (max) ;35.02409884636577;
Standard deviation of max size of solve for hyp (avg) ;1.920286436967152;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;1.920286436967152;
Standard deviation of max size of solve for hyp (max) ;1.920286436967152;
Standard deviation of min size of solve for hyp (avg) ;2.5;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.5;
Standard deviation of min size of solve for hyp (max) ;2.5;
Product of nb of solve for extended hyp (avg) ;20736.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;20736;
Product of nb of solve for extended hyp (max) ;20736;
Product of total size of solve for extended hyp (avg) ;1.3413691192E11;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;134136911920;
Product of total size of solve for extended hyp (max) ;134136911920;
Product of max size of solve for extended hyp (avg) ;5.327532E7;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;53275320;
Product of max size of solve for extended hyp (max) ;53275320;
Product of min size of solve for extended hyp (avg) ;1936.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1936;
Product of min size of solve for extended hyp (max) ;1936;
Max of nb of solve for extended hyp (avg) ;12.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;12;
Max of nb of solve for extended hyp (max) ;12;
Max of total size of solve for extended hyp (avg) ;652.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;652;
Max of total size of solve for extended hyp (max) ;652;
Max of max size of solve for extended hyp (avg) ;90.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;90;
Max of max size of solve for extended hyp (max) ;90;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;12.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;12;
Min of nb of solve for extended hyp (max) ;12;
Min of total size of solve for extended hyp (avg) ;563.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;563;
Min of total size of solve for extended hyp (max) ;563;
Min of max size of solve for extended hyp (avg) ;81.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;81;
Min of max size of solve for extended hyp (max) ;81;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;48.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;48;
Sum of nb of solve for extended hyp (max) ;48;
Sum of total size of solve for extended hyp (avg) ;2424.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;2424;
Sum of total size of solve for extended hyp (max) ;2424;
Sum of max size of solve for extended hyp (avg) ;342.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;342;
Sum of max size of solve for extended hyp (max) ;342;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;12.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;12.0;
Average of nb of solve for extended hyp (max) ;12.0;
Average of total size of solve for extended hyp (avg) ;606.0;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;606.0;
Average of total size of solve for extended hyp (max) ;606.0;
Average of max size of solve for extended hyp (avg) ;85.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;85.5;
Average of max size of solve for extended hyp (max) ;85.5;
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;0.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.0;
Standard deviation of nb of solve for extended hyp (max) ;0;
Standard deviation of total size of solve for extended hyp (avg) ;31.50396800404673;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;31.50396800404673;
Standard deviation of total size of solve for extended hyp (max) ;31.50396800404673;
Standard deviation of max size of solve for extended hyp (avg) ;3.3541019662496847;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
