;v0.3.13e10_exEcai-3ag_Inc-CL_Clique_3All
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;8;
Sum of min size of solve for external context (max) ;8;
Average of nb of solve for external context (avg) ;11.666666666666668;
Average of nb of solve for external context (stddev) ;1.7763568394002505E-15;
Average of nb of solve for external context (min) ;11.666666666666666;
Average of nb of solve for external context (max) ;11.666666666666666;
Average of total size of solve for external context (avg) ;102.66666666666666;
Average of total size of solve for external context (stddev) ;1.4210854715202004E-14;
Average of total size of solve for external context (min) ;102.66666666666667;
Average of total size of solve for external context (max) ;102.66666666666667;
Average of max size of solve for external context (avg) ;21.666666666666664;
Average of max size of solve for external context (stddev) ;3.552713678800501E-15;
Average of max size of solve for external context (min) ;21.666666666666668;
Average of max size of solve for external context (max) ;21.666666666666668;
Average of min size of solve for external context (avg) ;2.666666666666667;
Average of min size of solve for external context (stddev) ;4.440892098500626E-16;
Average of min size of solve for external context (min) ;2.6666666666666665;
Average of min size of solve for external context (max) ;2.6666666666666665;
Standard deviation of nb of solve for external context (avg) ;2.4944382578492936;
Standard deviation of nb of solve for external context (stddev) ;4.440892098500626E-16;
Standard deviation of nb of solve for external context (min) ;2.494438257849294;
Standard deviation of nb of solve for external context (max) ;2.494438257849294;
Standard deviation of total size of solve for external context (avg) ;18.926759422104517;
Standard deviation of total size of solve for external context (stddev) ;3.552713678800501E-15;
Standard deviation of total size of solve for external context (min) ;18.92675942210452;
Standard deviation of total size of solve for external context (max) ;18.92675942210452;
Standard deviation of max size of solve for external context (avg) ;10.530379332620873;
Standard deviation of max size of solve for external context (stddev) ;1.7763568394002505E-15;
Standard deviation of max size of solve for external context (min) ;10.530379332620875;
Standard deviation of max size of solve for external context (max) ;10.530379332620875;
Standard deviation of min size of solve for external context (avg) ;0.9428090415820634;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.9428090415820634;
Standard deviation of min size of solve for external context (max) ;0.9428090415820634;
Product of nb of solve for covered manif. (avg) ;144.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;144;
Product of nb of solve for covered manif. (max) ;144;
Product of total size of solve for covered manif. (avg) ;284200.0;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;284200;
Product of total size of solve for covered manif. (max) ;284200;
Product of max size of solve for covered manif. (avg) ;6400.0;
