;v0.3.135e1_chain8_ECAI_Ligne_8Summ
Total size of {Deny} sent (avg) ;7290.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;7290;
Total size of {Deny} sent (max) ;7290;
Global Max size of {Ask other hypothesis} sent (avg) ;7.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;7;
Global Max size of {Ask other hypothesis} sent (max) ;7;
Nb of {Ask other hypothesis} sent (avg) ;65.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;65;
Nb of {Ask other hypothesis} sent (max) ;65;
Total size of {Ask other hypothesis} sent (avg) ;430.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;430;
Total size of {Ask other hypothesis} sent (max) ;430;
Global Max size of {Argue} sent (avg) ;14.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;14;
Global Max size of {Argue} sent (max) ;14;
Nb of {Argue} sent (avg) ;107.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;107;
Nb of {Argue} sent (max) ;107;
Total size of {Argue} sent (avg) ;1472.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;1472;
Total size of {Argue} sent (max) ;1472;
Global Max size of {Accept} sent (avg) ;121.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;121;
Global Max size of {Accept} sent (max) ;121;
Nb of {Accept} sent (avg) ;95.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;95;
Nb of {Accept} sent (max) ;95;
Total size of {Accept} sent (avg) ;5857.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;5857;
Total size of {Accept} sent (max) ;5857;
Global Max size of {Check Context} sent (avg) ;87.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;87;
Global Max size of {Check Context} sent (max) ;87;
Nb of {Check Context} sent (avg) ;240.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;240;
Nb of {Check Context} sent (max) ;240;
Total size of {Check Context} sent (avg) ;7994.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;7994;
Total size of {Check Context} sent (max) ;7994;
Global Max size of {Coherence counter-example} sent (avg) ;2.0;
Global Max size of {Coherence counter-example} sent (stddev) ;0.0;
Global Max size of {Coherence counter-example} sent (min) ;2;
Global Max size of {Coherence counter-example} sent (max) ;2;
Nb of {Coherence counter-example} sent (avg) ;6.0;
Nb of {Coherence counter-example} sent (stddev) ;0.0;
Nb of {Coherence counter-example} sent (min) ;6;
Nb of {Coherence counter-example} sent (max) ;6;
Total size of {Coherence counter-example} sent (avg) ;13.0;
Total size of {Coherence counter-example} sent (stddev) ;0.0;
Total size of {Coherence counter-example} sent (min) ;13;
Total size of {Coherence counter-example} sent (max) ;13;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;14.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;14;
Nb of {New neighbour} received (max) ;14;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;8.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;8;
Nb of {Start} received (max) ;8;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-6.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-6;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-7.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-7;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;94.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;94;
Nb of {Accept Request} received (max) ;94;
Total size of {Accept Request} received (avg) ;949.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;949;
Total size of {Accept Request} received (max) ;949;
Global Max size of {Confirm context} received (avg) ;87.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;87;
Global Max size of {Confirm context} received (max) ;87;
Nb of {Confirm context} received (avg) ;414.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;414;
Nb of {Confirm context} received (max) ;414;
