;v0.3.1395e1_chain8-4_Inc-CL_Ligne_4All
Sum of max size of solve for extended hyp (avg) ;210.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;210;
Sum of max size of solve for extended hyp (max) ;210;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;6.0;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;6.0;
Average of nb of solve for extended hyp (max) ;6.0;
Average of total size of solve for extended hyp (avg) ;214.5;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;214.5;
Average of total size of solve for extended hyp (max) ;214.5;
Average of max size of solve for extended hyp (avg) ;52.5;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;52.5;
Average of max size of solve for extended hyp (max) ;52.5;
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;2.0;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;2.0;
Standard deviation of nb of solve for extended hyp (max) ;2.0;
Standard deviation of total size of solve for extended hyp (avg) ;110.68310620867125;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;110.68310620867125;
Standard deviation of total size of solve for extended hyp (max) ;110.68310620867125;
Standard deviation of max size of solve for extended hyp (avg) ;12.093386622447824;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;12.093386622447824;
Standard deviation of max size of solve for extended hyp (max) ;12.093386622447824;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;4.4980936E7;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;44980936;
Product of nb of solve for own context (max) ;44980936;
Product of total size of solve for own context (avg) ;8.60818905072E11;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;860818905072;
Product of total size of solve for own context (max) ;860818905072;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;137.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;137;
Max of nb of solve for own context (max) ;137;
Max of total size of solve for own context (avg) ;1779.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1779;
Max of total size of solve for own context (max) ;1779;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;44.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;44;
Min of nb of solve for own context (max) ;44;
Min of total size of solve for own context (avg) ;602.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;602;
Min of total size of solve for own context (max) ;602;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;354.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;354;
Sum of nb of solve for own context (max) ;354;
Sum of total size of solve for own context (avg) ;4176.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;4176;
Sum of total size of solve for own context (max) ;4176;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;88.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;88.5;
Average of nb of solve for own context (max) ;88.5;
Average of total size of solve for own context (avg) ;1044.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1044.0;
Average of total size of solve for own context (max) ;1044.0;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
