;v0.3.1395e1_DAREscheduleBis_Inc-CL_DARE_8All
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;6068.75;
Average of total size of solve for extended hyp (max) ;6068.75;
Average of max size of solve for extended hyp (avg) ;1218.25;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;1218.25;
Average of max size of solve for extended hyp (max) ;1218.25;
Average of min size of solve for extended hyp (avg) ;12.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;12.75;
Average of min size of solve for extended hyp (max) ;12.75;
Standard deviation of nb of solve for extended hyp (avg) ;3.391164991562634;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;3.391164991562634;
Standard deviation of nb of solve for extended hyp (max) ;3.391164991562634;
Standard deviation of total size of solve for extended hyp (avg) ;3511.026372373184;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;3511.026372373184;
Standard deviation of total size of solve for extended hyp (max) ;3511.026372373184;
Standard deviation of max size of solve for extended hyp (avg) ;516.759796714102;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;516.759796714102;
Standard deviation of max size of solve for extended hyp (max) ;516.759796714102;
Standard deviation of min size of solve for extended hyp (avg) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;9.921567416492215;
Standard deviation of min size of solve for extended hyp (max) ;9.921567416492215;
Product of nb of solve for own context (avg) ;1.8984192649506864E16;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;18984192649506864;
Product of nb of solve for own context (max) ;18984192649506864;
Product of total size of solve for own context (avg) ;2.6004613438230195E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2600461343823019576;
Product of total size of solve for own context (max) ;2600461343823019576;
Product of max size of solve for own context (avg) ;1.059278593824E15;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1059278593824000;
Product of max size of solve for own context (max) ;1059278593824000;
Product of min size of solve for own context (avg) ;1.6777216E7;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;16777216;
Product of min size of solve for own context (max) ;16777216;
Max of nb of solve for own context (avg) ;471.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;471;
Max of nb of solve for own context (max) ;471;
Max of total size of solve for own context (avg) ;12043.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;12043;
Max of total size of solve for own context (max) ;12043;
Max of max size of solve for own context (avg) ;120.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;120;
Max of max size of solve for own context (max) ;120;
Max of min size of solve for own context (avg) ;8.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;8;
Max of min size of solve for own context (max) ;8;
Min of nb of solve for own context (avg) ;29.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;29;
Min of nb of solve for own context (max) ;29;
Min of total size of solve for own context (avg) ;635.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;635;
Min of total size of solve for own context (max) ;635;
Min of max size of solve for own context (avg) ;41.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;41;
Min of max size of solve for own context (max) ;41;
Min of min size of solve for own context (avg) ;8.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;8;
Min of min size of solve for own context (max) ;8;
Sum of nb of solve for own context (avg) ;1188.0;
