;v0.3.1395e1_chain8-4_ECAI-CL_Circuit_4All
Product of nb of solve for own context (avg) ;4.1328615E7;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;41328615;
Product of nb of solve for own context (max) ;41328615;
Product of total size of solve for own context (avg) ;7.75039412784E11;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;775039412784;
Product of total size of solve for own context (max) ;775039412784;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;123.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;123;
Max of nb of solve for own context (max) ;123;
Max of total size of solve for own context (avg) ;1316.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1316;
Max of total size of solve for own context (max) ;1316;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;59.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;59;
Min of nb of solve for own context (max) ;59;
Min of total size of solve for own context (avg) ;622.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;622;
Min of total size of solve for own context (max) ;622;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;334.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;334;
Sum of nb of solve for own context (max) ;334;
Sum of total size of solve for own context (avg) ;3925.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;3925;
Sum of total size of solve for own context (max) ;3925;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;83.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;83.5;
Average of nb of solve for own context (max) ;83.5;
Average of total size of solve for own context (avg) ;981.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;981.25;
Average of total size of solve for own context (max) ;981.25;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;24.672859582950654;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;24.672859582950654;
Standard deviation of nb of solve for own context (max) ;24.672859582950654;
Standard deviation of total size of solve for own context (avg) ;283.6453551532265;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;283.6453551532265;
Standard deviation of total size of solve for own context (max) ;283.6453551532265;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;2.145616E8;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;214561600;
Product of nb of solve for external context (max) ;214561600;
Product of total size of solve for external context (avg) ;3.059656704E11;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;305965670400;
Product of total size of solve for external context (max) ;305965670400;
Product of max size of solve for external context (avg) ;205770.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;205770;
Product of max size of solve for external context (max) ;205770;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;167.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;167;
Max of nb of solve for external context (max) ;167;
Max of total size of solve for external context (avg) ;1130.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1130;
Max of total size of solve for external context (max) ;1130;
Max of max size of solve for external context (avg) ;30.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;30;
Max of max size of solve for external context (max) ;30;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;80.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;80;
Min of nb of solve for external context (max) ;80;
Min of total size of solve for external context (avg) ;452.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;452;
Min of total size of solve for external context (max) ;452;
Min of max size of solve for external context (avg) ;19.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;19;
Min of max size of solve for external context (max) ;19;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;503.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;503;
Sum of nb of solve for external context (max) ;503;
Sum of total size of solve for external context (avg) ;3158.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;3158;
Sum of total size of solve for external context (max) ;3158;
Sum of max size of solve for external context (avg) ;87.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;87;
Sum of max size of solve for external context (max) ;87;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;125.75;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;125.75;
Average of nb of solve for external context (max) ;125.75;
Average of total size of solve for external context (avg) ;789.5;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;789.5;
Average of total size of solve for external context (max) ;789.5;
Average of max size of solve for external context (avg) ;21.75;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;21.75;
Average of max size of solve for external context (max) ;21.75;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;33.36446462930284;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;33.36446462930284;
Standard deviation of nb of solve for external context (max) ;33.36446462930284;
Standard deviation of total size of solve for external context (avg) ;261.56213410966046;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;261.56213410966046;
Standard deviation of total size of solve for external context (max) ;261.56213410966046;
Standard deviation of max size of solve for external context (avg) ;4.763139720814412;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;4.763139720814412;
Standard deviation of max size of solve for external context (max) ;4.763139720814412;
Standard deviation of min size of solve for external context (avg) ;1.0;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;1.0;
Standard deviation of min size of solve for external context (max) ;1.0;
Product of nb of solve for covered manif. (avg) ;715392.0;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;715392;
Product of nb of solve for covered manif. (max) ;715392;
Product of total size of solve for covered manif. (avg) ;2.363351991E10;
