;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6Summ
Global Max size of {Withdraw incomplete} sent (max) ;2;
Nb of {Withdraw incomplete} sent (avg) ;5.0;
Nb of {Withdraw incomplete} sent (stddev) ;0.0;
Nb of {Withdraw incomplete} sent (min) ;5;
Nb of {Withdraw incomplete} sent (max) ;5;
Total size of {Withdraw incomplete} sent (avg) ;12.0;
Total size of {Withdraw incomplete} sent (stddev) ;0.0;
Total size of {Withdraw incomplete} sent (min) ;12;
Total size of {Withdraw incomplete} sent (max) ;12;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;21.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;21;
Nb of {Acknowledge} sent (max) ;21;
Total size of {Acknowledge} sent (avg) ;44.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;44;
Total size of {Acknowledge} sent (max) ;44;
Global Max size of {Confirm context} sent (avg) ;496.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;496;
Global Max size of {Confirm context} sent (max) ;496;
Nb of {Confirm context} sent (avg) ;39.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;39;
Nb of {Confirm context} sent (max) ;39;
Total size of {Confirm context} sent (avg) ;11292.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;11292;
Total size of {Confirm context} sent (max) ;11292;
Global Max size of {Completeness counter-example} sent (avg) ;407.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;407;
Global Max size of {Completeness counter-example} sent (max) ;407;
Nb of {Completeness counter-example} sent (avg) ;21.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;21;
Nb of {Completeness counter-example} sent (max) ;21;
Total size of {Completeness counter-example} sent (avg) ;2279.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;2279;
Total size of {Completeness counter-example} sent (max) ;2279;
Global Max size of {Deny} sent (avg) ;465.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;465;
Global Max size of {Deny} sent (max) ;465;
Nb of {Deny} sent (avg) ;13.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;13;
Nb of {Deny} sent (max) ;13;
Total size of {Deny} sent (avg) ;4613.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;4613;
Total size of {Deny} sent (max) ;4613;
Global Max size of {Argue} sent (avg) ;393.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;393;
Global Max size of {Argue} sent (max) ;393;
Nb of {Argue} sent (avg) ;14.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;14;
Nb of {Argue} sent (max) ;14;
Total size of {Argue} sent (avg) ;2430.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;2430;
Total size of {Argue} sent (max) ;2430;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;3.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;3;
Nb of {End of local conversation} sent (max) ;3;
Total size of {End of local conversation} sent (avg) ;57.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;57;
Total size of {End of local conversation} sent (max) ;57;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;2.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;2;
Nb of {Accept Request} sent (max) ;2;
Total size of {Accept Request} sent (avg) ;38.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;38;
Total size of {Accept Request} sent (max) ;38;
Global Max size of {Ask other hypothesis} sent (avg) ;296.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;296;
Global Max size of {Ask other hypothesis} sent (max) ;296;
Nb of {Ask other hypothesis} sent (avg) ;11.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;11;
Nb of {Ask other hypothesis} sent (max) ;11;
Total size of {Ask other hypothesis} sent (avg) ;4021.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
