;v0.3.1395e1_chain8_ECAI-CL_Circuit_8All
Sum of total size of solve for extended hyp (min) ;349;
Sum of total size of solve for extended hyp (max) ;349;
Sum of max size of solve for extended hyp (avg) ;209.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;209;
Sum of max size of solve for extended hyp (max) ;209;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;2.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;2.5;
Average of nb of solve for extended hyp (max) ;2.5;
Average of total size of solve for extended hyp (avg) ;43.625;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;43.625;
Average of total size of solve for extended hyp (max) ;43.625;
Average of max size of solve for extended hyp (avg) ;26.125;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;26.125;
Average of max size of solve for extended hyp (max) ;26.125;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for extended hyp (avg) ;16.162746517841576;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;16.162746517841576;
Standard deviation of total size of solve for extended hyp (max) ;16.162746517841576;
Standard deviation of max size of solve for extended hyp (avg) ;6.43112548470328;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;6.43112548470328;
Standard deviation of max size of solve for extended hyp (max) ;6.43112548470328;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;5.513953536E9;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;5513953536;
Product of nb of solve for own context (max) ;5513953536;
Product of total size of solve for own context (avg) ;1.46087550156295808E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;1460875501562958180;
Product of total size of solve for own context (max) ;1460875501562958180;
Product of max size of solve for own context (avg) ;3.02252877E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;302252877000;
Product of max size of solve for own context (max) ;302252877000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;34.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;34;
Max of nb of solve for own context (max) ;34;
Max of total size of solve for own context (avg) ;406.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;406;
Max of total size of solve for own context (max) ;406;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;12.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;12;
Min of nb of solve for own context (max) ;12;
Min of total size of solve for own context (avg) ;126.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;126;
Min of total size of solve for own context (max) ;126;
Min of max size of solve for own context (avg) ;17.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;17;
Min of max size of solve for own context (max) ;17;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;141.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;141;
Sum of nb of solve for own context (max) ;141;
Sum of total size of solve for own context (avg) ;1670.0;
