;v0.3.1395e1_chain8_ECAI-CL_Ligne_8All
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;30.625;
Average of max size of solve for extended hyp (max) ;30.625;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.0897247358851685;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;1.0897247358851685;
Standard deviation of nb of solve for extended hyp (max) ;1.0897247358851685;
Standard deviation of total size of solve for extended hyp (avg) ;30.569592735265545;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;30.569592735265545;
Standard deviation of total size of solve for extended hyp (max) ;30.569592735265545;
Standard deviation of max size of solve for extended hyp (avg) ;8.85914075968996;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;8.85914075968996;
Standard deviation of max size of solve for extended hyp (max) ;8.85914075968996;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;2.59311544128E12;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;2593115441280;
Product of nb of solve for own context (max) ;2593115441280;
Product of total size of solve for own context (avg) ;2.17171046160616704E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2171710461606167040;
Product of total size of solve for own context (max) ;2171710461606167040;
Product of max size of solve for own context (avg) ;6.015424905E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;601542490500;
Product of max size of solve for own context (max) ;601542490500;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;109.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;109;
Max of nb of solve for own context (max) ;109;
Max of total size of solve for own context (avg) ;1164.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1164;
Max of total size of solve for own context (max) ;1164;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;12.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;12;
Min of nb of solve for own context (max) ;12;
Min of total size of solve for own context (avg) ;151.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;151;
Min of total size of solve for own context (max) ;151;
Min of max size of solve for own context (avg) ;21.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;21;
Min of max size of solve for own context (max) ;21;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;357.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;357;
Sum of nb of solve for own context (max) ;357;
Sum of total size of solve for own context (avg) ;4162.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;4162;
Sum of total size of solve for own context (max) ;4162;
Sum of max size of solve for own context (avg) ;242.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;242;
Sum of max size of solve for own context (max) ;242;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;44.625;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;44.625;
Average of nb of solve for own context (max) ;44.625;
Average of total size of solve for own context (avg) ;520.25;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;520.25;
Average of total size of solve for own context (max) ;520.25;
Average of max size of solve for own context (avg) ;30.25;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;30.25;
Average of max size of solve for own context (max) ;30.25;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;29.937173797805297;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;29.937173797805297;
Standard deviation of nb of solve for own context (max) ;29.937173797805297;
Standard deviation of total size of solve for own context (avg) ;373.45473286597934;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;373.45473286597934;
Standard deviation of total size of solve for own context (max) ;373.45473286597934;
Standard deviation of max size of solve for own context (avg) ;6.219927652312364;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.219927652312364;
Standard deviation of max size of solve for own context (max) ;6.219927652312364;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;8.4504159387648E13;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;84504159387648;
Product of nb of solve for external context (max) ;84504159387648;
Product of total size of solve for external context (avg) ;-5.2130706989961605E18;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;-5213070698996160512;
Product of total size of solve for external context (max) ;0;
Product of max size of solve for external context (avg) ;7.50835008E9;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;7508350080;
Product of max size of solve for external context (max) ;7508350080;
Product of min size of solve for external context (avg) ;1024.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;1024;
Product of min size of solve for external context (max) ;1024;
Max of nb of solve for external context (avg) ;186.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;186;
Max of nb of solve for external context (max) ;186;
Max of total size of solve for external context (avg) ;1463.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;1463;
Max of total size of solve for external context (max) ;1463;
Max of max size of solve for external context (avg) ;28.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;28;
Max of max size of solve for external context (max) ;28;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;19.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;19;
Min of nb of solve for external context (max) ;19;
Min of total size of solve for external context (avg) ;117.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;117;
Min of total size of solve for external context (max) ;117;
Min of max size of solve for external context (avg) ;11.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;11;
Min of max size of solve for external context (max) ;11;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;571.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;571;
Sum of nb of solve for external context (max) ;571;
Sum of total size of solve for external context (avg) ;4207.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;4207;
Sum of total size of solve for external context (max) ;4207;
Sum of max size of solve for external context (avg) ;143.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;143;
Sum of max size of solve for external context (max) ;143;
Sum of min size of solve for external context (avg) ;20.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;20;
Sum of min size of solve for external context (max) ;20;
Average of nb of solve for external context (avg) ;71.375;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;71.375;
Average of nb of solve for external context (max) ;71.375;
Average of total size of solve for external context (avg) ;525.875;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;525.875;
Average of total size of solve for external context (max) ;525.875;
Average of max size of solve for external context (avg) ;17.875;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;17.875;
Average of max size of solve for external context (max) ;17.875;
Average of min size of solve for external context (avg) ;2.5;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;2.5;
Average of min size of solve for external context (max) ;2.5;
Standard deviation of nb of solve for external context (avg) ;53.92341212312144;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;53.92341212312144;
Standard deviation of nb of solve for external context (max) ;53.92341212312144;
Standard deviation of total size of solve for external context (avg) ;415.05404392078873;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;415.05404392078873;
Standard deviation of total size of solve for external context (max) ;415.05404392078873;
Standard deviation of max size of solve for external context (avg) ;5.035809269620922;
Standard deviation of max size of solve for external context (stddev) ;0.0;
Standard deviation of max size of solve for external context (min) ;5.035809269620922;
Standard deviation of max size of solve for external context (max) ;5.035809269620922;
Standard deviation of min size of solve for external context (avg) ;0.8660254037844386;
Standard deviation of min size of solve for external context (stddev) ;0.0;
Standard deviation of min size of solve for external context (min) ;0.8660254037844386;
Standard deviation of min size of solve for external context (max) ;0.8660254037844386;
Product of nb of solve for covered manif. (avg) ;9.858996E9;
Product of nb of solve for covered manif. (stddev) ;0.0;
Product of nb of solve for covered manif. (min) ;9858996000;
Product of nb of solve for covered manif. (max) ;9858996000;
Product of total size of solve for covered manif. (avg) ;2.7437626888281795E18;
Product of total size of solve for covered manif. (stddev) ;0.0;
Product of total size of solve for covered manif. (min) ;2743762688828179200;
Product of total size of solve for covered manif. (max) ;2743762688828179200;
Product of max size of solve for covered manif. (avg) ;5.92E10;
Product of max size of solve for covered manif. (stddev) ;0.0;
Product of max size of solve for covered manif. (min) ;59200000000;
Product of max size of solve for covered manif. (max) ;59200000000;
Product of min size of solve for covered manif. (avg) ;17496.0;
Product of min size of solve for covered manif. (stddev) ;0.0;
Product of min size of solve for covered manif. (min) ;17496;
Product of min size of solve for covered manif. (max) ;17496;
Max of nb of solve for covered manif. (avg) ;28.0;
Max of nb of solve for covered manif. (stddev) ;0.0;
Max of nb of solve for covered manif. (min) ;28;
Max of nb of solve for covered manif. (max) ;28;
Max of total size of solve for covered manif. (avg) ;453.0;
Max of total size of solve for covered manif. (stddev) ;0.0;
Max of total size of solve for covered manif. (min) ;453;
Max of total size of solve for covered manif. (max) ;453;
Max of max size of solve for covered manif. (avg) ;37.0;
Max of max size of solve for covered manif. (stddev) ;0.0;
Max of max size of solve for covered manif. (min) ;37;
Max of max size of solve for covered manif. (max) ;37;
Max of min size of solve for covered manif. (avg) ;8.0;
Max of min size of solve for covered manif. (stddev) ;0.0;
Max of min size of solve for covered manif. (min) ;8;
Max of min size of solve for covered manif. (max) ;8;
Min of nb of solve for covered manif. (avg) ;7.0;
Min of nb of solve for covered manif. (stddev) ;0.0;
Min of nb of solve for covered manif. (min) ;7;
Min of nb of solve for covered manif. (max) ;7;
Min of total size of solve for covered manif. (avg) ;63.0;
Min of total size of solve for covered manif. (stddev) ;0.0;
Min of total size of solve for covered manif. (min) ;63;
Min of total size of solve for covered manif. (max) ;63;
Min of max size of solve for covered manif. (avg) ;16.0;
Min of max size of solve for covered manif. (stddev) ;0.0;
Min of max size of solve for covered manif. (min) ;16;
Min of max size of solve for covered manif. (max) ;16;
Min of min size of solve for covered manif. (avg) ;3.0;
Min of min size of solve for covered manif. (stddev) ;0.0;
Min of min size of solve for covered manif. (min) ;3;
Min of min size of solve for covered manif. (max) ;3;
Sum of nb of solve for covered manif. (avg) ;158.0;
Sum of nb of solve for covered manif. (stddev) ;0.0;
Sum of nb of solve for covered manif. (min) ;158;
Sum of nb of solve for covered manif. (max) ;158;
Sum of total size of solve for covered manif. (avg) ;1866.0;
Sum of total size of solve for covered manif. (stddev) ;0.0;
Sum of total size of solve for covered manif. (min) ;1866;
Sum of total size of solve for covered manif. (max) ;1866;
Sum of max size of solve for covered manif. (avg) ;185.0;
Sum of max size of solve for covered manif. (stddev) ;0.0;
Sum of max size of solve for covered manif. (min) ;185;
Sum of max size of solve for covered manif. (max) ;185;
Sum of min size of solve for covered manif. (avg) ;29.0;
Sum of min size of solve for covered manif. (stddev) ;0.0;
Sum of min size of solve for covered manif. (min) ;29;
Sum of min size of solve for covered manif. (max) ;29;
Average of nb of solve for covered manif. (avg) ;19.75;
Average of nb of solve for covered manif. (stddev) ;0.0;
Average of nb of solve for covered manif. (min) ;19.75;
Average of nb of solve for covered manif. (max) ;19.75;
Average of total size of solve for covered manif. (avg) ;233.25;
Average of total size of solve for covered manif. (stddev) ;0.0;
Average of total size of solve for covered manif. (min) ;233.25;
Average of total size of solve for covered manif. (max) ;233.25;
Average of max size of solve for covered manif. (avg) ;23.125;
Average of max size of solve for covered manif. (stddev) ;0.0;
Average of max size of solve for covered manif. (min) ;23.125;
Average of max size of solve for covered manif. (max) ;23.125;
