;v0.3.136e1_DAREschedule_ECAI_DARE_8All
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;3680345686119714112;
Product of total size of solve for own context (max) ;3680345686119714112;
Product of max size of solve for own context (avg) ;1.453304786076E15;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1453304786076000;
Product of max size of solve for own context (max) ;1453304786076000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;580.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;580;
Max of nb of solve for own context (max) ;580;
Max of total size of solve for own context (avg) ;14423.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;14423;
Max of total size of solve for own context (max) ;14423;
Max of max size of solve for own context (avg) ;169.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;169;
Max of max size of solve for own context (max) ;169;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;27.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;27;
Min of nb of solve for own context (max) ;27;
Min of total size of solve for own context (avg) ;428.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;428;
Min of total size of solve for own context (max) ;428;
Min of max size of solve for own context (avg) ;45.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;45;
Min of max size of solve for own context (max) ;45;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1672.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1672;
Sum of nb of solve for own context (max) ;1672;
Sum of total size of solve for own context (avg) ;42905.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;42905;
Sum of total size of solve for own context (max) ;42905;
Sum of max size of solve for own context (avg) ;700.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;700;
Sum of max size of solve for own context (max) ;700;
Sum of min size of solve for own context (avg) ;32.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;32;
Sum of min size of solve for own context (max) ;32;
Average of nb of solve for own context (avg) ;209.0;
