;v0.3.135e1_chain8_Inc_Ligne_8All
Standard deviation of total size of solve for extended hyp (avg) ;171.77365193765894;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;171.77365193765894;
Standard deviation of total size of solve for extended hyp (max) ;171.77365193765894;
Standard deviation of max size of solve for extended hyp (avg) ;15.644487847162015;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;15.644487847162015;
Standard deviation of max size of solve for extended hyp (max) ;15.644487847162015;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;9.2307158733487424E17;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;923071587334874208;
Product of nb of solve for own context (max) ;923071587334874208;
Product of total size of solve for own context (avg) ;2.22728715162058752E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2227287151620587520;
Product of total size of solve for own context (max) ;2227287151620587520;
Product of max size of solve for own context (avg) ;6.88905E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;688905000000;
Product of max size of solve for own context (max) ;688905000000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;383.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;383;
Max of nb of solve for own context (max) ;383;
Max of total size of solve for own context (avg) ;4169.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;4169;
Max of total size of solve for own context (max) ;4169;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;98.0;
Min of nb of solve for own context (stddev) ;0.0;
