;v0.3.1395e1_chain8-4_Inc-CL_Circuit_4All
Product of total size of solve for own context (min) ;779161962852;
Product of total size of solve for own context (max) ;779161962852;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;123.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;123;
Max of nb of solve for own context (max) ;123;
Max of total size of solve for own context (avg) ;1323.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;1323;
Max of total size of solve for own context (max) ;1323;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;59.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;59;
Min of nb of solve for own context (max) ;59;
Min of total size of solve for own context (avg) ;622.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;622;
Min of total size of solve for own context (max) ;622;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;334.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;334;
Sum of nb of solve for own context (max) ;334;
Sum of total size of solve for own context (avg) ;3932.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;3932;
Sum of total size of solve for own context (max) ;3932;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;83.5;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;83.5;
Average of nb of solve for own context (max) ;83.5;
Average of total size of solve for own context (avg) ;983.0;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;983.0;
Average of total size of solve for own context (max) ;983.0;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;24.672859582950654;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;24.672859582950654;
Standard deviation of nb of solve for own context (max) ;24.672859582950654;
Standard deviation of total size of solve for own context (avg) ;285.7192678137055;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;285.7192678137055;
Standard deviation of total size of solve for own context (max) ;285.7192678137055;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;7.157952E7;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;71579520;
Product of nb of solve for external context (max) ;71579520;
Product of total size of solve for external context (avg) ;1.25467481168E11;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;125467481168;
Product of total size of solve for external context (max) ;125467481168;
Product of max size of solve for external context (avg) ;205770.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;205770;
Product of max size of solve for external context (max) ;205770;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;120.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;120;
Max of nb of solve for external context (max) ;120;
Max of total size of solve for external context (avg) ;778.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;778;
Max of total size of solve for external context (max) ;778;
Max of max size of solve for external context (avg) ;30.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;30;
Max of max size of solve for external context (max) ;30;
Max of min size of solve for external context (avg) ;4.0;
