;v0.3.139e1_DAREscheduleVariant_Inc_DARE_8All
Max of max size of solve for extended hyp (min) ;793;
Max of max size of solve for extended hyp (max) ;793;
Max of min size of solve for extended hyp (avg) ;633.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;633;
Max of min size of solve for extended hyp (max) ;633;
Min of nb of solve for extended hyp (avg) ;1.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;1;
Min of nb of solve for extended hyp (max) ;1;
Min of total size of solve for extended hyp (avg) ;9.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;9;
Min of total size of solve for extended hyp (max) ;9;
Min of max size of solve for extended hyp (avg) ;9.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;9;
Min of max size of solve for extended hyp (max) ;9;
Min of min size of solve for extended hyp (avg) ;9.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;9;
Min of min size of solve for extended hyp (max) ;9;
Sum of nb of solve for extended hyp (avg) ;33.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;33;
Sum of nb of solve for extended hyp (max) ;33;
Sum of total size of solve for extended hyp (avg) ;12433.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;12433;
Sum of total size of solve for extended hyp (max) ;12433;
Sum of max size of solve for extended hyp (avg) ;3176.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;3176;
Sum of max size of solve for extended hyp (max) ;3176;
Sum of min size of solve for extended hyp (avg) ;696.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;696;
Sum of min size of solve for extended hyp (max) ;696;
Average of nb of solve for extended hyp (avg) ;4.125;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;4.125;
Average of nb of solve for extended hyp (max) ;4.125;
Average of total size of solve for extended hyp (avg) ;1554.125;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;1554.125;
Average of total size of solve for extended hyp (max) ;1554.125;
Average of max size of solve for extended hyp (avg) ;397.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;397.0;
Average of max size of solve for extended hyp (max) ;397.0;
Average of min size of solve for extended hyp (avg) ;87.0;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;87.0;
Average of min size of solve for extended hyp (max) ;87.0;
Standard deviation of nb of solve for extended hyp (avg) ;2.6190408549696205;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;2.6190408549696205;
Standard deviation of nb of solve for extended hyp (max) ;2.6190408549696205;
Standard deviation of total size of solve for extended hyp (avg) ;1945.9795372446752;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;1945.9795372446752;
Standard deviation of total size of solve for extended hyp (max) ;1945.9795372446752;
Standard deviation of max size of solve for extended hyp (avg) ;218.56806720104382;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;218.56806720104382;
Standard deviation of max size of solve for extended hyp (max) ;218.56806720104382;
Standard deviation of min size of solve for extended hyp (avg) ;206.36860226303807;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;206.36860226303807;
Standard deviation of min size of solve for extended hyp (max) ;206.36860226303807;
Product of nb of solve for own context (avg) ;1.70481024E10;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;17048102400;
Product of nb of solve for own context (max) ;17048102400;
Product of total size of solve for own context (avg) ;6.7674496536035871E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;6767449653603587408;
Product of total size of solve for own context (max) ;6767449653603587408;
Product of max size of solve for own context (avg) ;1.03699333588032E15;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1036993335880320;
Product of max size of solve for own context (max) ;1036993335880320;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;116.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;116;
Max of nb of solve for own context (max) ;116;
Max of total size of solve for own context (avg) ;8152.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;8152;
