;v0.3.135e1_chain8_Inc-CL_Ligne_8All
Sum of total size of solve for extended hyp (min) ;3683;
Sum of total size of solve for extended hyp (max) ;3683;
Sum of max size of solve for extended hyp (avg) ;248.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;248;
Sum of max size of solve for extended hyp (max) ;248;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;18.625;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;18.625;
Average of nb of solve for extended hyp (max) ;18.625;
Average of total size of solve for extended hyp (avg) ;460.375;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;460.375;
Average of total size of solve for extended hyp (max) ;460.375;
Average of max size of solve for extended hyp (avg) ;31.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;31.0;
Average of max size of solve for extended hyp (max) ;31.0;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;6.183395103015818;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;6.183395103015818;
Standard deviation of nb of solve for extended hyp (max) ;6.183395103015818;
Standard deviation of total size of solve for extended hyp (avg) ;194.0450575897258;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;194.0450575897258;
Standard deviation of total size of solve for extended hyp (max) ;194.0450575897258;
Standard deviation of max size of solve for extended hyp (avg) ;8.04673846971554;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;8.04673846971554;
Standard deviation of max size of solve for extended hyp (max) ;8.04673846971554;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;7.3100539046370816E16;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;73100539046370816;
Product of nb of solve for own context (max) ;73100539046370816;
Product of total size of solve for own context (avg) ;2.6464872809455662E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2646487280945566112;
Product of total size of solve for own context (max) ;2646487280945566112;
Product of max size of solve for own context (avg) ;6.015424905E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;601542490500;
Product of max size of solve for own context (max) ;601542490500;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;244.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;244;
Max of nb of solve for own context (max) ;244;
Max of total size of solve for own context (avg) ;3540.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;3540;
Max of total size of solve for own context (max) ;3540;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;51.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;51;
Min of nb of solve for own context (max) ;51;
Min of total size of solve for own context (avg) ;741.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;741;
Min of total size of solve for own context (max) ;741;
Min of max size of solve for own context (avg) ;21.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;21;
Min of max size of solve for own context (max) ;21;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;1147.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;1147;
Sum of nb of solve for own context (max) ;1147;
