;v0.3.1395e1_chain8_Inc-CL_Circuit_8All
Average of total size of solve for extended hyp (avg) ;43.625;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;43.625;
Average of total size of solve for extended hyp (max) ;43.625;
Average of max size of solve for extended hyp (avg) ;26.125;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;26.125;
Average of max size of solve for extended hyp (max) ;26.125;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.7071067811865476;
Standard deviation of nb of solve for extended hyp (max) ;0.7071067811865476;
Standard deviation of total size of solve for extended hyp (avg) ;16.162746517841576;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;16.162746517841576;
Standard deviation of total size of solve for extended hyp (max) ;16.162746517841576;
Standard deviation of max size of solve for extended hyp (avg) ;6.43112548470328;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;6.43112548470328;
Standard deviation of max size of solve for extended hyp (max) ;6.43112548470328;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;8.532905472E9;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;8532905472;
Product of nb of solve for own context (max) ;8532905472;
Product of total size of solve for own context (avg) ;2.5166395108773714E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;2516639510877371460;
Product of total size of solve for own context (max) ;2516639510877371460;
Product of max size of solve for own context (avg) ;3.02252877E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;302252877000;
Product of max size of solve for own context (max) ;302252877000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
Product of min size of solve for own context (max) ;65536;
Max of nb of solve for own context (avg) ;38.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;38;
Max of nb of solve for own context (max) ;38;
Max of total size of solve for own context (avg) ;501.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;501;
Max of total size of solve for own context (max) ;501;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;12.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;12;
Min of nb of solve for own context (max) ;12;
Min of total size of solve for own context (avg) ;126.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;126;
Min of total size of solve for own context (max) ;126;
Min of max size of solve for own context (avg) ;17.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;17;
