;v0.3.1395e1_chain8-4_ECAI_Ligne_4All
Standard deviation of total size of solve for hyp (min) ;62.853003110432205;
Standard deviation of total size of solve for hyp (max) ;62.853003110432205;
Standard deviation of max size of solve for hyp (avg) ;4.968651728587948;
Standard deviation of max size of solve for hyp (stddev) ;0.0;
Standard deviation of max size of solve for hyp (min) ;4.968651728587948;
Standard deviation of max size of solve for hyp (max) ;4.968651728587948;
Standard deviation of min size of solve for hyp (avg) ;2.5;
Standard deviation of min size of solve for hyp (stddev) ;0.0;
Standard deviation of min size of solve for hyp (min) ;2.5;
Standard deviation of min size of solve for hyp (max) ;2.5;
Product of nb of solve for extended hyp (avg) ;11979.0;
Product of nb of solve for extended hyp (stddev) ;0.0;
Product of nb of solve for extended hyp (min) ;11979;
Product of nb of solve for extended hyp (max) ;11979;
Product of total size of solve for extended hyp (avg) ;4.995342975E10;
Product of total size of solve for extended hyp (stddev) ;0.0;
Product of total size of solve for extended hyp (min) ;49953429750;
Product of total size of solve for extended hyp (max) ;49953429750;
Product of max size of solve for extended hyp (avg) ;4.2357168E7;
Product of max size of solve for extended hyp (stddev) ;0.0;
Product of max size of solve for extended hyp (min) ;42357168;
Product of max size of solve for extended hyp (max) ;42357168;
Product of min size of solve for extended hyp (avg) ;1936.0;
Product of min size of solve for extended hyp (stddev) ;0.0;
Product of min size of solve for extended hyp (min) ;1936;
Product of min size of solve for extended hyp (max) ;1936;
Max of nb of solve for extended hyp (avg) ;11.0;
Max of nb of solve for extended hyp (stddev) ;0.0;
Max of nb of solve for extended hyp (min) ;11;
Max of nb of solve for extended hyp (max) ;11;
Max of total size of solve for extended hyp (avg) ;565.0;
Max of total size of solve for extended hyp (stddev) ;0.0;
Max of total size of solve for extended hyp (min) ;565;
Max of total size of solve for extended hyp (max) ;565;
Max of max size of solve for extended hyp (avg) ;87.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;87;
Max of max size of solve for extended hyp (max) ;87;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;9.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;9;
Min of nb of solve for extended hyp (max) ;9;
Min of total size of solve for extended hyp (avg) ;345.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;345;
Min of total size of solve for extended hyp (max) ;345;
Min of max size of solve for extended hyp (avg) ;69.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;69;
Min of max size of solve for extended hyp (max) ;69;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;42.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;42;
Sum of nb of solve for extended hyp (max) ;42;
Sum of total size of solve for extended hyp (avg) ;1923.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;1923;
Sum of total size of solve for extended hyp (max) ;1923;
Sum of max size of solve for extended hyp (avg) ;324.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;324;
Sum of max size of solve for extended hyp (max) ;324;
Sum of min size of solve for extended hyp (avg) ;30.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;30;
Sum of min size of solve for extended hyp (max) ;30;
Average of nb of solve for extended hyp (avg) ;10.5;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;10.5;
Average of nb of solve for extended hyp (max) ;10.5;
Average of total size of solve for extended hyp (avg) ;480.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;480.75;
Average of total size of solve for extended hyp (max) ;480.75;
Average of max size of solve for extended hyp (avg) ;81.0;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;81.0;
Average of max size of solve for extended hyp (max) ;81.0;
Average of min size of solve for extended hyp (avg) ;7.5;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;7.5;
Average of min size of solve for extended hyp (max) ;7.5;
Standard deviation of nb of solve for extended hyp (avg) ;0.8660254037844386;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;0.8660254037844386;
Standard deviation of nb of solve for extended hyp (max) ;0.8660254037844386;
Standard deviation of total size of solve for extended hyp (avg) ;82.7598181486644;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;82.7598181486644;
Standard deviation of total size of solve for extended hyp (max) ;82.7598181486644;
Standard deviation of max size of solve for extended hyp (avg) ;7.035623639735144;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;7.035623639735144;
Standard deviation of max size of solve for extended hyp (max) ;7.035623639735144;
Standard deviation of min size of solve for extended hyp (avg) ;3.5;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.5;
Standard deviation of min size of solve for extended hyp (max) ;3.5;
Product of nb of solve for own context (avg) ;5.07693736E8;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;507693736;
Product of nb of solve for own context (max) ;507693736;
Product of total size of solve for own context (avg) ;4.862642390424E12;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;4862642390424;
Product of total size of solve for own context (max) ;4862642390424;
Product of max size of solve for own context (avg) ;1215000.0;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;1215000;
Product of max size of solve for own context (max) ;1215000;
Product of min size of solve for own context (avg) ;256.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;256;
Product of min size of solve for own context (max) ;256;
Max of nb of solve for own context (avg) ;242.0;
Max of nb of solve for own context (stddev) ;0.0;
Max of nb of solve for own context (min) ;242;
Max of nb of solve for own context (max) ;242;
Max of total size of solve for own context (avg) ;2652.0;
Max of total size of solve for own context (stddev) ;0.0;
Max of total size of solve for own context (min) ;2652;
Max of total size of solve for own context (max) ;2652;
Max of max size of solve for own context (avg) ;45.0;
Max of max size of solve for own context (stddev) ;0.0;
Max of max size of solve for own context (min) ;45;
Max of max size of solve for own context (max) ;45;
Max of min size of solve for own context (avg) ;4.0;
Max of min size of solve for own context (stddev) ;0.0;
Max of min size of solve for own context (min) ;4;
Max of min size of solve for own context (max) ;4;
Min of nb of solve for own context (avg) ;83.0;
Min of nb of solve for own context (stddev) ;0.0;
Min of nb of solve for own context (min) ;83;
Min of nb of solve for own context (max) ;83;
Min of total size of solve for own context (avg) ;846.0;
Min of total size of solve for own context (stddev) ;0.0;
Min of total size of solve for own context (min) ;846;
Min of total size of solve for own context (max) ;846;
Min of max size of solve for own context (avg) ;30.0;
Min of max size of solve for own context (stddev) ;0.0;
Min of max size of solve for own context (min) ;30;
Min of max size of solve for own context (max) ;30;
Min of min size of solve for own context (avg) ;4.0;
Min of min size of solve for own context (stddev) ;0.0;
Min of min size of solve for own context (min) ;4;
Min of min size of solve for own context (max) ;4;
Sum of nb of solve for own context (avg) ;645.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;645;
Sum of nb of solve for own context (max) ;645;
Sum of total size of solve for own context (avg) ;6446.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;6446;
Sum of total size of solve for own context (max) ;6446;
Sum of max size of solve for own context (avg) ;135.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;135;
Sum of max size of solve for own context (max) ;135;
Sum of min size of solve for own context (avg) ;16.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;16;
Sum of min size of solve for own context (max) ;16;
Average of nb of solve for own context (avg) ;161.25;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;161.25;
Average of nb of solve for own context (max) ;161.25;
Average of total size of solve for own context (avg) ;1611.5;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;1611.5;
Average of total size of solve for own context (max) ;1611.5;
Average of max size of solve for own context (avg) ;33.75;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;33.75;
Average of max size of solve for own context (max) ;33.75;
Average of min size of solve for own context (avg) ;4.0;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;4.0;
Average of min size of solve for own context (max) ;4.0;
Standard deviation of nb of solve for own context (avg) ;57.65143103167518;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;57.65143103167518;
Standard deviation of nb of solve for own context (max) ;57.65143103167518;
Standard deviation of total size of solve for own context (avg) ;655.1910026854764;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;655.1910026854764;
Standard deviation of total size of solve for own context (max) ;655.1910026854764;
Standard deviation of max size of solve for own context (avg) ;6.49519052838329;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;6.49519052838329;
Standard deviation of max size of solve for own context (max) ;6.49519052838329;
Standard deviation of min size of solve for own context (avg) ;0.0;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;0.0;
Standard deviation of min size of solve for own context (max) ;0;
Product of nb of solve for external context (avg) ;1.1124423552E10;
Product of nb of solve for external context (stddev) ;0.0;
Product of nb of solve for external context (min) ;11124423552;
Product of nb of solve for external context (max) ;11124423552;
Product of total size of solve for external context (avg) ;1.0105455077772E13;
Product of total size of solve for external context (stddev) ;0.0;
Product of total size of solve for external context (min) ;10105455077772;
Product of total size of solve for external context (max) ;10105455077772;
Product of max size of solve for external context (avg) ;314874.0;
Product of max size of solve for external context (stddev) ;0.0;
Product of max size of solve for external context (min) ;314874;
Product of max size of solve for external context (max) ;314874;
Product of min size of solve for external context (avg) ;64.0;
Product of min size of solve for external context (stddev) ;0.0;
Product of min size of solve for external context (min) ;64;
Product of min size of solve for external context (max) ;64;
Max of nb of solve for external context (avg) ;636.0;
Max of nb of solve for external context (stddev) ;0.0;
Max of nb of solve for external context (min) ;636;
Max of nb of solve for external context (max) ;636;
Max of total size of solve for external context (avg) ;3526.0;
Max of total size of solve for external context (stddev) ;0.0;
Max of total size of solve for external context (min) ;3526;
Max of total size of solve for external context (max) ;3526;
Max of max size of solve for external context (avg) ;34.0;
Max of max size of solve for external context (stddev) ;0.0;
Max of max size of solve for external context (min) ;34;
Max of max size of solve for external context (max) ;34;
Max of min size of solve for external context (avg) ;4.0;
Max of min size of solve for external context (stddev) ;0.0;
Max of min size of solve for external context (min) ;4;
Max of min size of solve for external context (max) ;4;
Min of nb of solve for external context (avg) ;158.0;
Min of nb of solve for external context (stddev) ;0.0;
Min of nb of solve for external context (min) ;158;
Min of nb of solve for external context (max) ;158;
Min of total size of solve for external context (avg) ;813.0;
Min of total size of solve for external context (stddev) ;0.0;
Min of total size of solve for external context (min) ;813;
Min of total size of solve for external context (max) ;813;
Min of max size of solve for external context (avg) ;21.0;
Min of max size of solve for external context (stddev) ;0.0;
Min of max size of solve for external context (min) ;21;
Min of max size of solve for external context (max) ;21;
Min of min size of solve for external context (avg) ;2.0;
Min of min size of solve for external context (stddev) ;0.0;
Min of min size of solve for external context (min) ;2;
Min of min size of solve for external context (max) ;2;
Sum of nb of solve for external context (avg) ;1464.0;
Sum of nb of solve for external context (stddev) ;0.0;
Sum of nb of solve for external context (min) ;1464;
Sum of nb of solve for external context (max) ;1464;
Sum of total size of solve for external context (avg) ;8188.0;
Sum of total size of solve for external context (stddev) ;0.0;
Sum of total size of solve for external context (min) ;8188;
Sum of total size of solve for external context (max) ;8188;
Sum of max size of solve for external context (avg) ;97.0;
Sum of max size of solve for external context (stddev) ;0.0;
Sum of max size of solve for external context (min) ;97;
Sum of max size of solve for external context (max) ;97;
Sum of min size of solve for external context (avg) ;12.0;
Sum of min size of solve for external context (stddev) ;0.0;
Sum of min size of solve for external context (min) ;12;
Sum of min size of solve for external context (max) ;12;
Average of nb of solve for external context (avg) ;366.0;
Average of nb of solve for external context (stddev) ;0.0;
Average of nb of solve for external context (min) ;366.0;
Average of nb of solve for external context (max) ;366.0;
Average of total size of solve for external context (avg) ;2047.0;
Average of total size of solve for external context (stddev) ;0.0;
Average of total size of solve for external context (min) ;2047.0;
Average of total size of solve for external context (max) ;2047.0;
Average of max size of solve for external context (avg) ;24.25;
Average of max size of solve for external context (stddev) ;0.0;
Average of max size of solve for external context (min) ;24.25;
Average of max size of solve for external context (max) ;24.25;
Average of min size of solve for external context (avg) ;3.0;
Average of min size of solve for external context (stddev) ;0.0;
Average of min size of solve for external context (min) ;3.0;
Average of min size of solve for external context (max) ;3.0;
Standard deviation of nb of solve for external context (avg) ;174.01724052518475;
Standard deviation of nb of solve for external context (stddev) ;0.0;
Standard deviation of nb of solve for external context (min) ;174.01724052518475;
Standard deviation of nb of solve for external context (max) ;174.01724052518475;
Standard deviation of total size of solve for external context (avg) ;1012.079789344694;
Standard deviation of total size of solve for external context (stddev) ;0.0;
Standard deviation of total size of solve for external context (min) ;1012.079789344694;
Standard deviation of total size of solve for external context (max) ;1012.079789344694;
Standard deviation of max size of solve for external context (avg) ;5.629165124598851;
