;v0.3.136e1_t08r1-dist1-6ag_Inc-CL_Ligne_6All
Min of min size of solve for own context (max) ;0;
Sum of nb of solve for own context (avg) ;253.0;
Sum of nb of solve for own context (stddev) ;0.0;
Sum of nb of solve for own context (min) ;253;
Sum of nb of solve for own context (max) ;253;
Sum of total size of solve for own context (avg) ;12124.0;
Sum of total size of solve for own context (stddev) ;0.0;
Sum of total size of solve for own context (min) ;12124;
Sum of total size of solve for own context (max) ;12124;
Sum of max size of solve for own context (avg) ;364.0;
Sum of max size of solve for own context (stddev) ;0.0;
Sum of max size of solve for own context (min) ;364;
Sum of max size of solve for own context (max) ;364;
Sum of min size of solve for own context (avg) ;88.0;
Sum of min size of solve for own context (stddev) ;0.0;
Sum of min size of solve for own context (min) ;88;
Sum of min size of solve for own context (max) ;88;
Average of nb of solve for own context (avg) ;42.166666666666664;
Average of nb of solve for own context (stddev) ;0.0;
Average of nb of solve for own context (min) ;42.166666666666664;
Average of nb of solve for own context (max) ;42.166666666666664;
Average of total size of solve for own context (avg) ;2020.6666666666667;
Average of total size of solve for own context (stddev) ;0.0;
Average of total size of solve for own context (min) ;2020.6666666666667;
Average of total size of solve for own context (max) ;2020.6666666666667;
Average of max size of solve for own context (avg) ;60.666666666666664;
Average of max size of solve for own context (stddev) ;0.0;
Average of max size of solve for own context (min) ;60.666666666666664;
Average of max size of solve for own context (max) ;60.666666666666664;
Average of min size of solve for own context (avg) ;14.666666666666666;
Average of min size of solve for own context (stddev) ;0.0;
Average of min size of solve for own context (min) ;14.666666666666666;
Average of min size of solve for own context (max) ;14.666666666666666;
Standard deviation of nb of solve for own context (avg) ;56.06964914778365;
Standard deviation of nb of solve for own context (stddev) ;0.0;
Standard deviation of nb of solve for own context (min) ;56.06964914778365;
Standard deviation of nb of solve for own context (max) ;56.06964914778365;
Standard deviation of total size of solve for own context (avg) ;2772.2857997608317;
Standard deviation of total size of solve for own context (stddev) ;0.0;
Standard deviation of total size of solve for own context (min) ;2772.2857997608317;
Standard deviation of total size of solve for own context (max) ;2772.2857997608317;
Standard deviation of max size of solve for own context (avg) ;45.92989827504036;
Standard deviation of max size of solve for own context (stddev) ;0.0;
Standard deviation of max size of solve for own context (min) ;45.92989827504036;
Standard deviation of max size of solve for own context (max) ;45.92989827504036;
Standard deviation of min size of solve for own context (avg) ;11.279282877125754;
Standard deviation of min size of solve for own context (stddev) ;0.0;
Standard deviation of min size of solve for own context (min) ;11.279282877125754;
Standard deviation of min size of solve for own context (max) ;11.279282877125754;
Product of nb of solve for external context (avg) ;0.0;
Product of nb of solve for external context (stddev) ;0.0;
