;v0.3.13e10_exEcai-3ag_Inc_Ligne_3Summ
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;3.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;3;
Nb of {Request} sent (max) ;3;
Total size of {Request} sent (avg) ;71.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;71;
Total size of {Request} sent (max) ;71;
Global Max size of {Propose} sent (avg) ;61.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;61;
Global Max size of {Propose} sent (max) ;61;
Nb of {Propose} sent (avg) ;13.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;13;
Nb of {Propose} sent (max) ;13;
Total size of {Propose} sent (avg) ;405.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;405;
Total size of {Propose} sent (max) ;405;
Global Max size of {Acknowledge confirmation} sent (avg) ;34.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;34;
Global Max size of {Acknowledge confirmation} sent (max) ;34;
Nb of {Acknowledge confirmation} sent (avg) ;11.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;11;
Nb of {Acknowledge confirmation} sent (max) ;11;
Total size of {Acknowledge confirmation} sent (avg) ;264.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;264;
Total size of {Acknowledge confirmation} sent (max) ;264;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;9.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;9;
Nb of {Acknowledge} sent (max) ;9;
Total size of {Acknowledge} sent (avg) ;18.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;18;
Total size of {Acknowledge} sent (max) ;18;
Global Max size of {Confirm context} sent (avg) ;53.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;53;
Global Max size of {Confirm context} sent (max) ;53;
Nb of {Confirm context} sent (avg) ;12.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;12;
Nb of {Confirm context} sent (max) ;12;
Total size of {Confirm context} sent (avg) ;265.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;265;
Total size of {Confirm context} sent (max) ;265;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;7.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;7;
Nb of {Completeness counter-example} sent (max) ;7;
Total size of {Completeness counter-example} sent (avg) ;70.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;70;
Total size of {Completeness counter-example} sent (max) ;70;
Global Max size of {Check Context} sent (avg) ;29.0;
Global Max size of {Check Context} sent (stddev) ;0.0;
Global Max size of {Check Context} sent (min) ;29;
Global Max size of {Check Context} sent (max) ;29;
Nb of {Check Context} sent (avg) ;3.0;
Nb of {Check Context} sent (stddev) ;0.0;
Nb of {Check Context} sent (min) ;3;
Nb of {Check Context} sent (max) ;3;
Total size of {Check Context} sent (avg) ;57.0;
Total size of {Check Context} sent (stddev) ;0.0;
Total size of {Check Context} sent (min) ;57;
Total size of {Check Context} sent (max) ;57;
Global Max size of {Accept} sent (avg) ;61.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;61;
Global Max size of {Accept} sent (max) ;61;
Nb of {Accept} sent (avg) ;4.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;4;
Nb of {Accept} sent (max) ;4;
Total size of {Accept} sent (avg) ;149.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;149;
Total size of {Accept} sent (max) ;149;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;8.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;8;
Nb of {End of local conversation} sent (max) ;8;
Total size of {End of local conversation} sent (avg) ;80.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;80;
Total size of {End of local conversation} sent (max) ;80;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
Nb of {Accept Request} sent (avg) ;4.0;
Nb of {Accept Request} sent (stddev) ;0.0;
Nb of {Accept Request} sent (min) ;4;
Nb of {Accept Request} sent (max) ;4;
Total size of {Accept Request} sent (avg) ;40.0;
Total size of {Accept Request} sent (stddev) ;0.0;
Total size of {Accept Request} sent (min) ;40;
Total size of {Accept Request} sent (max) ;40;
Global Max size of {Deny} sent (avg) ;32.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;32;
Global Max size of {Deny} sent (max) ;32;
Nb of {Deny} sent (avg) ;5.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;5;
Nb of {Deny} sent (max) ;5;
Total size of {Deny} sent (avg) ;130.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;130;
Total size of {Deny} sent (max) ;130;
Global Max size of {Withdraw} sent (avg) ;2.0;
Global Max size of {Withdraw} sent (stddev) ;0.0;
Global Max size of {Withdraw} sent (min) ;2;
Global Max size of {Withdraw} sent (max) ;2;
Nb of {Withdraw} sent (avg) ;1.0;
Nb of {Withdraw} sent (stddev) ;0.0;
Nb of {Withdraw} sent (min) ;1;
Nb of {Withdraw} sent (max) ;1;
Total size of {Withdraw} sent (avg) ;3.0;
Total size of {Withdraw} sent (stddev) ;0.0;
Total size of {Withdraw} sent (min) ;3;
Total size of {Withdraw} sent (max) ;3;
Global Max size of {Ask other hypothesis} sent (avg) ;10.0;
Global Max size of {Ask other hypothesis} sent (stddev) ;0.0;
Global Max size of {Ask other hypothesis} sent (min) ;10;
Global Max size of {Ask other hypothesis} sent (max) ;10;
Nb of {Ask other hypothesis} sent (avg) ;1.0;
Nb of {Ask other hypothesis} sent (stddev) ;0.0;
Nb of {Ask other hypothesis} sent (min) ;1;
Nb of {Ask other hypothesis} sent (max) ;1;
Total size of {Ask other hypothesis} sent (avg) ;11.0;
Total size of {Ask other hypothesis} sent (stddev) ;0.0;
Total size of {Ask other hypothesis} sent (min) ;11;
Total size of {Ask other hypothesis} sent (max) ;11;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;5.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;5;
Nb of {Argue} sent (max) ;5;
Total size of {Argue} sent (avg) ;94.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;94;
Total size of {Argue} sent (max) ;94;
Global Max size of {New neighbour} received (avg) ;0.0;
Global Max size of {New neighbour} received (stddev) ;0.0;
Global Max size of {New neighbour} received (min) ;0;
Global Max size of {New neighbour} received (max) ;0;
Nb of {New neighbour} received (avg) ;4.0;
Nb of {New neighbour} received (stddev) ;0.0;
Nb of {New neighbour} received (min) ;4;
Nb of {New neighbour} received (max) ;4;
Total size of {New neighbour} received (avg) ;0.0;
Total size of {New neighbour} received (stddev) ;0.0;
Total size of {New neighbour} received (min) ;0;
Total size of {New neighbour} received (max) ;0;
Global Max size of {Start} received (avg) ;0.0;
Global Max size of {Start} received (stddev) ;0.0;
Global Max size of {Start} received (min) ;0;
Global Max size of {Start} received (max) ;0;
Nb of {Start} received (avg) ;3.0;
Nb of {Start} received (stddev) ;0.0;
Nb of {Start} received (min) ;3;
Nb of {Start} received (max) ;3;
Total size of {Start} received (avg) ;0.0;
Total size of {Start} received (stddev) ;0.0;
Total size of {Start} received (min) ;0;
Total size of {Start} received (max) ;0;
Global Max size of {Launch} received (avg) ;0.0;
Global Max size of {Launch} received (stddev) ;0.0;
Global Max size of {Launch} received (min) ;0;
Global Max size of {Launch} received (max) ;0;
Nb of {Launch} received (avg) ;-1.0;
Nb of {Launch} received (stddev) ;0.0;
Nb of {Launch} received (min) ;-1;
Nb of {Launch} received (max) ;0;
Total size of {Launch} received (avg) ;-2.0;
Total size of {Launch} received (stddev) ;0.0;
Total size of {Launch} received (min) ;-2;
Total size of {Launch} received (max) ;0;
Global Max size of {Accept Request} received (avg) ;10.0;
Global Max size of {Accept Request} received (stddev) ;0.0;
Global Max size of {Accept Request} received (min) ;10;
Global Max size of {Accept Request} received (max) ;10;
Nb of {Accept Request} received (avg) ;3.0;
Nb of {Accept Request} received (stddev) ;0.0;
Nb of {Accept Request} received (min) ;3;
Nb of {Accept Request} received (max) ;3;
Total size of {Accept Request} received (avg) ;39.0;
Total size of {Accept Request} received (stddev) ;0.0;
Total size of {Accept Request} received (min) ;39;
Total size of {Accept Request} received (max) ;39;
Global Max size of {Confirm context} received (avg) ;53.0;
Global Max size of {Confirm context} received (stddev) ;0.0;
Global Max size of {Confirm context} received (min) ;53;
Global Max size of {Confirm context} received (max) ;53;
Nb of {Confirm context} received (avg) ;12.0;
Nb of {Confirm context} received (stddev) ;0.0;
Nb of {Confirm context} received (min) ;12;
Nb of {Confirm context} received (max) ;12;
Total size of {Confirm context} received (avg) ;265.0;
Total size of {Confirm context} received (stddev) ;0.0;
Total size of {Confirm context} received (min) ;265;
Total size of {Confirm context} received (max) ;265;
Global Max size of {Deny} received (avg) ;32.0;
Global Max size of {Deny} received (stddev) ;0.0;
Global Max size of {Deny} received (min) ;32;
Global Max size of {Deny} received (max) ;32;
Nb of {Deny} received (avg) ;5.0;
Nb of {Deny} received (stddev) ;0.0;
Nb of {Deny} received (min) ;5;
Nb of {Deny} received (max) ;5;
Total size of {Deny} received (avg) ;130.0;
Total size of {Deny} received (stddev) ;0.0;
Total size of {Deny} received (min) ;130;
Total size of {Deny} received (max) ;130;
Global Max size of {Propose} received (avg) ;61.0;
Global Max size of {Propose} received (stddev) ;0.0;
Global Max size of {Propose} received (min) ;61;
Global Max size of {Propose} received (max) ;61;
Nb of {Propose} received (avg) ;13.0;
Nb of {Propose} received (stddev) ;0.0;
Nb of {Propose} received (min) ;13;
Nb of {Propose} received (max) ;13;
Total size of {Propose} received (avg) ;405.0;
