;v0.3.13e10_exEcai-3ag_ECAI-CL_Clique_3Summ
Nb of  received messages (min) ;141;
Nb of  received messages (max) ;141;
Total size of  received messages (avg) ;1876.0;
Total size of  received messages (stddev) ;0.0;
Total size of  received messages (min) ;1876;
Total size of  received messages (max) ;1876;
Global Max size of  initLocalConv (avg) ;1.0;
Global Max size of  initLocalConv (stddev) ;0.0;
Global Max size of  initLocalConv (min) ;1;
Global Max size of  initLocalConv (max) ;1;
Nb of  initLocalConv (avg) ;7.0;
Nb of  initLocalConv (stddev) ;0.0;
Nb of  initLocalConv (min) ;7;
Nb of  initLocalConv (max) ;7;
Total size of  initLocalConv (avg) ;7.0;
Total size of  initLocalConv (stddev) ;0.0;
Total size of  initLocalConv (min) ;7;
Total size of  initLocalConv (max) ;7;
Global Max size of  acceptLocalConv (avg) ;1.0;
Global Max size of  acceptLocalConv (stddev) ;0.0;
Global Max size of  acceptLocalConv (min) ;1;
Global Max size of  acceptLocalConv (max) ;1;
Nb of  acceptLocalConv (avg) ;7.0;
Nb of  acceptLocalConv (stddev) ;0.0;
Nb of  acceptLocalConv (min) ;7;
Nb of  acceptLocalConv (max) ;7;
Total size of  acceptLocalConv (avg) ;7.0;
Total size of  acceptLocalConv (stddev) ;0.0;
Total size of  acceptLocalConv (min) ;7;
Total size of  acceptLocalConv (max) ;7;
Global Max size of {Started} sent (avg) ;0.0;
Global Max size of {Started} sent (stddev) ;0.0;
Global Max size of {Started} sent (min) ;0;
Global Max size of {Started} sent (max) ;0;
Nb of {Started} sent (avg) ;3.0;
Nb of {Started} sent (stddev) ;0.0;
Nb of {Started} sent (min) ;3;
Nb of {Started} sent (max) ;3;
Total size of {Started} sent (avg) ;0.0;
Total size of {Started} sent (stddev) ;0.0;
Total size of {Started} sent (min) ;0;
Total size of {Started} sent (max) ;0;
Global Max size of {Request} sent (avg) ;18.0;
Global Max size of {Request} sent (stddev) ;0.0;
Global Max size of {Request} sent (min) ;18;
Global Max size of {Request} sent (max) ;18;
Nb of {Request} sent (avg) ;7.0;
Nb of {Request} sent (stddev) ;0.0;
Nb of {Request} sent (min) ;7;
Nb of {Request} sent (max) ;7;
Total size of {Request} sent (avg) ;126.0;
Total size of {Request} sent (stddev) ;0.0;
Total size of {Request} sent (min) ;126;
Total size of {Request} sent (max) ;126;
Global Max size of {Propose} sent (avg) ;43.0;
Global Max size of {Propose} sent (stddev) ;0.0;
Global Max size of {Propose} sent (min) ;43;
Global Max size of {Propose} sent (max) ;43;
Nb of {Propose} sent (avg) ;17.0;
Nb of {Propose} sent (stddev) ;0.0;
Nb of {Propose} sent (min) ;17;
Nb of {Propose} sent (max) ;17;
Total size of {Propose} sent (avg) ;375.0;
Total size of {Propose} sent (stddev) ;0.0;
Total size of {Propose} sent (min) ;375;
Total size of {Propose} sent (max) ;375;
Global Max size of {Acknowledge confirmation} sent (avg) ;33.0;
Global Max size of {Acknowledge confirmation} sent (stddev) ;0.0;
Global Max size of {Acknowledge confirmation} sent (min) ;33;
Global Max size of {Acknowledge confirmation} sent (max) ;33;
Nb of {Acknowledge confirmation} sent (avg) ;15.0;
Nb of {Acknowledge confirmation} sent (stddev) ;0.0;
Nb of {Acknowledge confirmation} sent (min) ;15;
Nb of {Acknowledge confirmation} sent (max) ;15;
Total size of {Acknowledge confirmation} sent (avg) ;277.0;
Total size of {Acknowledge confirmation} sent (stddev) ;0.0;
Total size of {Acknowledge confirmation} sent (min) ;277;
Total size of {Acknowledge confirmation} sent (max) ;277;
Global Max size of {Acknowledge} sent (avg) ;2.0;
Global Max size of {Acknowledge} sent (stddev) ;0.0;
Global Max size of {Acknowledge} sent (min) ;2;
Global Max size of {Acknowledge} sent (max) ;2;
Nb of {Acknowledge} sent (avg) ;11.0;
Nb of {Acknowledge} sent (stddev) ;0.0;
Nb of {Acknowledge} sent (min) ;11;
Nb of {Acknowledge} sent (max) ;11;
Total size of {Acknowledge} sent (avg) ;22.0;
Total size of {Acknowledge} sent (stddev) ;0.0;
Total size of {Acknowledge} sent (min) ;22;
Total size of {Acknowledge} sent (max) ;22;
Global Max size of {Confirm context} sent (avg) ;29.0;
Global Max size of {Confirm context} sent (stddev) ;0.0;
Global Max size of {Confirm context} sent (min) ;29;
Global Max size of {Confirm context} sent (max) ;29;
Nb of {Confirm context} sent (avg) ;16.0;
Nb of {Confirm context} sent (stddev) ;0.0;
Nb of {Confirm context} sent (min) ;16;
Nb of {Confirm context} sent (max) ;16;
Total size of {Confirm context} sent (avg) ;235.0;
Total size of {Confirm context} sent (stddev) ;0.0;
Total size of {Confirm context} sent (min) ;235;
Total size of {Confirm context} sent (max) ;235;
Global Max size of {Completeness counter-example} sent (avg) ;10.0;
Global Max size of {Completeness counter-example} sent (stddev) ;0.0;
Global Max size of {Completeness counter-example} sent (min) ;10;
Global Max size of {Completeness counter-example} sent (max) ;10;
Nb of {Completeness counter-example} sent (avg) ;7.0;
Nb of {Completeness counter-example} sent (stddev) ;0.0;
Nb of {Completeness counter-example} sent (min) ;7;
Nb of {Completeness counter-example} sent (max) ;7;
Total size of {Completeness counter-example} sent (avg) ;70.0;
Total size of {Completeness counter-example} sent (stddev) ;0.0;
Total size of {Completeness counter-example} sent (min) ;70;
Total size of {Completeness counter-example} sent (max) ;70;
Global Max size of {Accept} sent (avg) ;33.0;
Global Max size of {Accept} sent (stddev) ;0.0;
Global Max size of {Accept} sent (min) ;33;
Global Max size of {Accept} sent (max) ;33;
Nb of {Accept} sent (avg) ;7.0;
Nb of {Accept} sent (stddev) ;0.0;
Nb of {Accept} sent (min) ;7;
Nb of {Accept} sent (max) ;7;
Total size of {Accept} sent (avg) ;153.0;
Total size of {Accept} sent (stddev) ;0.0;
Total size of {Accept} sent (min) ;153;
Total size of {Accept} sent (max) ;153;
Global Max size of {End of local conversation} sent (avg) ;10.0;
Global Max size of {End of local conversation} sent (stddev) ;0.0;
Global Max size of {End of local conversation} sent (min) ;10;
Global Max size of {End of local conversation} sent (max) ;10;
Nb of {End of local conversation} sent (avg) ;14.0;
Nb of {End of local conversation} sent (stddev) ;0.0;
Nb of {End of local conversation} sent (min) ;14;
Nb of {End of local conversation} sent (max) ;14;
Total size of {End of local conversation} sent (avg) ;140.0;
Total size of {End of local conversation} sent (stddev) ;0.0;
Total size of {End of local conversation} sent (min) ;140;
Total size of {End of local conversation} sent (max) ;140;
Global Max size of {Deny} sent (avg) ;22.0;
Global Max size of {Deny} sent (stddev) ;0.0;
Global Max size of {Deny} sent (min) ;22;
Global Max size of {Deny} sent (max) ;22;
Nb of {Deny} sent (avg) ;5.0;
Nb of {Deny} sent (stddev) ;0.0;
Nb of {Deny} sent (min) ;5;
Nb of {Deny} sent (max) ;5;
Total size of {Deny} sent (avg) ;86.0;
Total size of {Deny} sent (stddev) ;0.0;
Total size of {Deny} sent (min) ;86;
Total size of {Deny} sent (max) ;86;
Global Max size of {Argue} sent (avg) ;20.0;
Global Max size of {Argue} sent (stddev) ;0.0;
Global Max size of {Argue} sent (min) ;20;
Global Max size of {Argue} sent (max) ;20;
Nb of {Argue} sent (avg) ;5.0;
Nb of {Argue} sent (stddev) ;0.0;
Nb of {Argue} sent (min) ;5;
Nb of {Argue} sent (max) ;5;
Total size of {Argue} sent (avg) ;92.0;
Total size of {Argue} sent (stddev) ;0.0;
Total size of {Argue} sent (min) ;92;
Total size of {Argue} sent (max) ;92;
Global Max size of {Accept Request} sent (avg) ;10.0;
Global Max size of {Accept Request} sent (stddev) ;0.0;
Global Max size of {Accept Request} sent (min) ;10;
Global Max size of {Accept Request} sent (max) ;10;
