;v0.3.1395e1_chain8_ECAI_Circuit_8All
Max of total size of solve for extended hyp (max) ;595;
Max of max size of solve for extended hyp (avg) ;84.0;
Max of max size of solve for extended hyp (stddev) ;0.0;
Max of max size of solve for extended hyp (min) ;84;
Max of max size of solve for extended hyp (max) ;84;
Max of min size of solve for extended hyp (avg) ;11.0;
Max of min size of solve for extended hyp (stddev) ;0.0;
Max of min size of solve for extended hyp (min) ;11;
Max of min size of solve for extended hyp (max) ;11;
Min of nb of solve for extended hyp (avg) ;8.0;
Min of nb of solve for extended hyp (stddev) ;0.0;
Min of nb of solve for extended hyp (min) ;8;
Min of nb of solve for extended hyp (max) ;8;
Min of total size of solve for extended hyp (avg) ;144.0;
Min of total size of solve for extended hyp (stddev) ;0.0;
Min of total size of solve for extended hyp (min) ;144;
Min of total size of solve for extended hyp (max) ;144;
Min of max size of solve for extended hyp (avg) ;29.0;
Min of max size of solve for extended hyp (stddev) ;0.0;
Min of max size of solve for extended hyp (min) ;29;
Min of max size of solve for extended hyp (max) ;29;
Min of min size of solve for extended hyp (avg) ;4.0;
Min of min size of solve for extended hyp (stddev) ;0.0;
Min of min size of solve for extended hyp (min) ;4;
Min of min size of solve for extended hyp (max) ;4;
Sum of nb of solve for extended hyp (avg) ;85.0;
Sum of nb of solve for extended hyp (stddev) ;0.0;
Sum of nb of solve for extended hyp (min) ;85;
Sum of nb of solve for extended hyp (max) ;85;
Sum of total size of solve for extended hyp (avg) ;3270.0;
Sum of total size of solve for extended hyp (stddev) ;0.0;
Sum of total size of solve for extended hyp (min) ;3270;
Sum of total size of solve for extended hyp (max) ;3270;
Sum of max size of solve for extended hyp (avg) ;547.0;
Sum of max size of solve for extended hyp (stddev) ;0.0;
Sum of max size of solve for extended hyp (min) ;547;
Sum of max size of solve for extended hyp (max) ;547;
Sum of min size of solve for extended hyp (avg) ;46.0;
Sum of min size of solve for extended hyp (stddev) ;0.0;
Sum of min size of solve for extended hyp (min) ;46;
Sum of min size of solve for extended hyp (max) ;46;
Average of nb of solve for extended hyp (avg) ;10.625;
Average of nb of solve for extended hyp (stddev) ;0.0;
Average of nb of solve for extended hyp (min) ;10.625;
Average of nb of solve for extended hyp (max) ;10.625;
Average of total size of solve for extended hyp (avg) ;408.75;
Average of total size of solve for extended hyp (stddev) ;0.0;
Average of total size of solve for extended hyp (min) ;408.75;
Average of total size of solve for extended hyp (max) ;408.75;
Average of max size of solve for extended hyp (avg) ;68.375;
Average of max size of solve for extended hyp (stddev) ;0.0;
Average of max size of solve for extended hyp (min) ;68.375;
Average of max size of solve for extended hyp (max) ;68.375;
Average of min size of solve for extended hyp (avg) ;5.75;
Average of min size of solve for extended hyp (stddev) ;0.0;
Average of min size of solve for extended hyp (min) ;5.75;
Average of min size of solve for extended hyp (max) ;5.75;
Standard deviation of nb of solve for extended hyp (avg) ;1.79843682124227;
Standard deviation of nb of solve for extended hyp (stddev) ;0.0;
Standard deviation of nb of solve for extended hyp (min) ;1.79843682124227;
Standard deviation of nb of solve for extended hyp (max) ;1.79843682124227;
Standard deviation of total size of solve for extended hyp (avg) ;156.23039877053378;
Standard deviation of total size of solve for extended hyp (stddev) ;0.0;
Standard deviation of total size of solve for extended hyp (min) ;156.23039877053378;
Standard deviation of total size of solve for extended hyp (max) ;156.23039877053378;
Standard deviation of max size of solve for extended hyp (avg) ;22.118643154587943;
Standard deviation of max size of solve for extended hyp (stddev) ;0.0;
Standard deviation of max size of solve for extended hyp (min) ;22.118643154587943;
Standard deviation of max size of solve for extended hyp (max) ;22.118643154587943;
Standard deviation of min size of solve for extended hyp (avg) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (stddev) ;0.0;
Standard deviation of min size of solve for extended hyp (min) ;3.031088913245535;
Standard deviation of min size of solve for extended hyp (max) ;3.031088913245535;
Product of nb of solve for own context (avg) ;1.9448456219394048E17;
Product of nb of solve for own context (stddev) ;0.0;
Product of nb of solve for own context (min) ;194484562193940480;
Product of nb of solve for own context (max) ;194484562193940480;
Product of total size of solve for own context (avg) ;-8.662539558467369E18;
Product of total size of solve for own context (stddev) ;0.0;
Product of total size of solve for own context (min) ;-8662539558467368960;
Product of total size of solve for own context (max) ;0;
Product of max size of solve for own context (avg) ;3.54294E11;
Product of max size of solve for own context (stddev) ;0.0;
Product of max size of solve for own context (min) ;354294000000;
Product of max size of solve for own context (max) ;354294000000;
Product of min size of solve for own context (avg) ;65536.0;
Product of min size of solve for own context (stddev) ;0.0;
Product of min size of solve for own context (min) ;65536;
