infile,outfile,method,timeout,var,csq,max CPU time by SOLAR,min consequences sent,nbAg+,root-extensions,min CPU time by SOLAR,distrib,min total size messages,inferences,min extensions,max inferences,nbConsequencesFound,root-CPU time by SOLAR,nb Messages,root-total size messages,max total size messages,max nb Messages,CPU time by SOLAR,max extensions,max clauses sents,consequences sent,method,root-clauses sents,min nb Messages,root-consequences sent,root-nb Messages,min clauses sents,root-inferences,total time,root,clauses sents,max consequences sent,min inferences,extensions,problem,total size messages
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld2--1,SOLAR-Inc-Carc,1200000,_max-2_ld2--1,Problems/Bio/glucolysis_max-2_ld2--1_MONO,32040,0,1,8193161,32040,Mono,0,19924389,8193161,19924389,2,32040,0,0,0,0,32040,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,49803,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld2--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-4_ld5--1,SOLAR-Inc-Carc,1200000,_max-4_ld5--1,Problems/Bio/glucolysis_max-4_ld5--1_MONO,106502,0,1,27151841,106502,Mono,0,66070131,27151841,66070131,3,106502,0,0,0,0,106502,27151841,0,0,SOLAR-Inc-Carc,0,0,0,0,0,66070131,172591,0,0,0,66070131,27151841,Problems/Bio/glucolysis_max-4_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld4--1,SOLAR-Inc-Carc,1200000,_min-5_ld4--1,Problems/Bio/glucolysis_min-5_ld4--1_MONO,227914,0,1,63055881,227914,Mono,0,156513286,63055881,156513286,5,227914,0,0,0,0,227914,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,266872,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld4--1,SOLAR-Inc-Carc,1200000,_max-8_ld4--1,Problems/Bio/glucolysis_max-8_ld4--1_MONO,400905,0,1,94400563,400905,Mono,0,236823510,94400563,236823510,16,400905,0,0,0,0,400905,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,481562,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-5_ld5--1,SOLAR-Inc-Carc,1200000,_max-5_ld5--1,Problems/Bio/glucolysis_max-5_ld5--1_MONO,133763,0,1,34567239,133763,Mono,0,84459082,34567239,84459082,4,133763,0,0,0,0,133763,34567239,0,0,SOLAR-Inc-Carc,0,0,0,0,0,84459082,156744,0,0,0,84459082,34567239,Problems/Bio/glucolysis_max-5_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld4--1,SOLAR-Inc-Carc,1200000,_min-6_ld4--1,Problems/Bio/glucolysis_min-6_ld4--1_MONO,313692,0,1,84576372,313692,Mono,0,210604370,84576372,210604370,6,313692,0,0,0,0,313692,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,347501,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-6_ld5--1,SOLAR-Inc-Carc,1200000,_max-6_ld5--1,Problems/Bio/glucolysis_max-6_ld5--1_MONO,196003,0,1,46676375,196003,Mono,0,114213219,46676375,114213219,6,196003,0,0,0,0,196003,46676375,0,0,SOLAR-Inc-Carc,0,0,0,0,0,114213219,218770,0,0,0,114213219,46676375,Problems/Bio/glucolysis_max-6_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-8_ld5--1,SOLAR-Inc-Carc,1200000,_max-8_ld5--1,Problems/Bio/glucolysis_max-8_ld5--1_MONO,420719,0,1,94400563,420719,Mono,0,236823510,94400563,236823510,16,420719,0,0,0,0,420719,94400563,0,0,SOLAR-Inc-Carc,0,0,0,0,0,236823510,467345,0,0,0,236823510,94400563,Problems/Bio/glucolysis_max-8_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-5_ld5--1,SOLAR-Inc-Carc,1200000,_min-5_ld5--1,Problems/Bio/glucolysis_min-5_ld5--1_MONO,236508,0,1,63055881,236508,Mono,0,156513286,63055881,156513286,5,236508,0,0,0,0,236508,63055881,0,0,SOLAR-Inc-Carc,0,0,0,0,0,156513286,377146,0,0,0,156513286,63055881,Problems/Bio/glucolysis_min-5_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld4--1,SOLAR-Inc-Carc,1200000,_min-2_ld4--1,Problems/Bio/glucolysis_min-2_ld4--1_MONO,75217,0,1,22419059,75217,Mono,0,54801526,22419059,54801526,2,75217,0,0,0,0,75217,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,80550,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld4--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-6_ld5--1,SOLAR-Inc-Carc,1200000,_min-6_ld5--1,Problems/Bio/glucolysis_min-6_ld5--1_MONO,290633,0,1,84576372,290633,Mono,0,210604370,84576372,210604370,6,290633,0,0,0,0,290633,84576372,0,0,SOLAR-Inc-Carc,0,0,0,0,0,210604370,336311,0,0,0,210604370,84576372,Problems/Bio/glucolysis_min-6_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-2_ld5--1,SOLAR-Inc-Carc,1200000,_min-2_ld5--1,Problems/Bio/glucolysis_min-2_ld5--1_MONO,86825,0,1,22419059,86825,Mono,0,54801526,22419059,54801526,2,86825,0,0,0,0,86825,22419059,0,0,SOLAR-Inc-Carc,0,0,0,0,0,54801526,89260,0,0,0,54801526,22419059,Problems/Bio/glucolysis_min-2_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-4_ld5--1,SOLAR-Inc-Carc,1200000,_min-4_ld5--1,Problems/Bio/glucolysis_min-4_ld5--1_MONO,166485,0,1,46676651,166485,Mono,0,115388399,46676651,115388399,4,166485,0,0,0,0,166485,46676651,0,0,SOLAR-Inc-Carc,0,0,0,0,0,115388399,183082,0,0,0,115388399,46676651,Problems/Bio/glucolysis_min-4_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_min-8_ld5--1,SOLAR-Inc-Carc,1200000,_min-8_ld5--1,Problems/Bio/glucolysis_min-8_ld5--1_MONO,560473,0,1,146307405,560473,Mono,0,366854823,146307405,366854823,8,560473,0,0,0,0,560473,146307405,0,0,SOLAR-Inc-Carc,0,0,0,0,0,366854823,585501,0,0,0,366854823,146307405,Problems/Bio/glucolysis_min-8_ld5--1,0
Problems/Bio/glucolysis,Problems/Bio/glucolysis_max-2_ld5--1,SOLAR-Inc-Carc,1200000,_max-2_ld5--1,Problems/Bio/glucolysis_max-2_ld5--1_MONO,31591,0,1,8193161,31591,Mono,0,19924389,8193161,19924389,2,31591,0,0,0,0,31591,8193161,0,0,SOLAR-Inc-Carc,0,0,0,0,0,19924389,33109,0,0,0,19924389,8193161,Problems/Bio/glucolysis_max-2_ld5--1,0
